Program_Risk_Code	Work_Accomplishment_ID	Operation_Date_FY	Operation_Date	Inspection_PAC_List	Total_Employees	Total_Hours_Spent
FFNR	4384233	2010	3/17/2010	18029C	1	13.00
FFNR	4386270	2010	1/8/2010	03803,04803,09803	2	40.00
FFNR	4386470	2010	3/11/2010	03803,56002B	1	30.00
FFNR	4386529	2010	1/13/2010	03803,56002B	2	10.00
FFNR	4387176	2010	7/21/2010	03803,03803E,04803,09803	1	19.00
FFNR	4387618	2010	8/4/2010	03803,04803,09803	1	64.00
FFNR	4389587	2010	3/15/2010	03803	1	32.00
FFNR	4389707	2010	2/18/2010	29001,56002	2	14.00
FFNR	4389940	2010	6/10/2010	18029A	1	20.00
FFNR	4390057	2010	6/16/2010	03803,03803E,03842,03842H,04803,04842H,09803,09842	1	26.00
FFNR	4391239	2010	4/8/2010	18029A	1	5.00
FFNR	4391258	2010	4/8/2010	18029A	1	5.00
FFNR	4393719	2010	11/6/2009	03803	1	13.00
FFNR	4393937	2010	11/5/2009	03803	1	16.00
FFNR	4393940	2010	1/8/2010	03803	1	50.00
FFNR	4393953	2010	5/27/2010	03803,03842,03842H	1	16.00
FFNR	4393975	2010	11/20/2009	03803	2	24.00
FFNR	4393982	2010	10/30/2009	03803,04803,09803	1	10.00
FFNR	4394003	2010	12/18/2009	03803	1	32.00
FFNR	4394004	2010	1/20/2010	03803	1	40.00
FFNR	4394009	2010	8/17/2010	03803	1	20.00
FFNR	4394021	2010	11/4/2009	03803	1	27.00
FFNR	4394062	2010	12/10/2009	03803,03842,03842H,03844H	1	11.00
FFNR	4394223	2010	5/4/2010	18029C	1	5.00
FFNR	4394226	2010	5/4/2010	18029C	1	2.00
FFNR	4394293	2010	3/2/2010	18029A	1	5.00
FFNR	4394369	2010	9/21/2010	18029A	1	30.00
FFNR	4394384	2010	5/14/2010	03803	1	20.00
FFNR	4394399	2010	12/18/2009	03803	1	10.00
FFNR	4394403	2010	10/20/2009	03803	1	31.00
FFNR	4394472	2010	5/19/2010	03803	1	21.00
FFNR	4394539	2010	3/25/2010	03803	1	24.00
FFNR	4394602	2010	9/21/2010	03803	1	20.00
FFNR	4394606	2010	3/30/2010	03803	1	12.00
FFNR	4394846	2010	8/3/2010	18029A	2	34.00
FFNR	4394866	2010	1/21/2010	03842,03842H	2	45.00
FFNR	4394914	2010	4/7/2010	18029A	1	24.00
FFNR	4394919	2011	3/23/2011	18029A	1	7.00
FFNR	4394960	2010	7/6/2010	18029A	1	8.00
FFNR	4394996	2011	10/5/2010	18029A	1	15.00
FFNR	4395026	2010	11/13/2009	03803,04803,09803	1	70.00
FFNR	4395092	2010	12/9/2009	03803	1	64.00
FFNR	4395173	2010	10/22/2009	03803,03803E,09803	2	27.00
FFNR	4395221	2010	7/6/2010	18029A	1	8.00
FFNR	4395234	2010	8/4/2010	03803,21005	1	36.00
FFNR	4395244	2010	11/16/2009	03803,03842,03842H,04803,09803,09842	1	43.00
FFNR	4395453	2010	3/24/2010	03803	1	6.00
FFNR	4395566	2010	9/28/2010	03803	1	56.00
FFNR	4395599	2010	8/24/2010	03803,03842	1	30.00
FFNR	4395615	2010	3/8/2010	03803,21005	1	30.00
FFNR	4395717	2010	2/24/2010	18029A	2	18.00
FFNR	4395757	2010	11/3/2009	03803	1	50.00
FFNR	4396365	2011	10/23/2010	03803	2	60.00
