Program_Risk_Code	Work_Accomplishment_ID	Operation_Date_FY	Operation_Date	Inspection_PAC_List	Total_Employees	Total_Hours_Spent
FFHR	5614098	2011	7/26/2011	03803	1	30.00
FFHR	5614272	2011	8/4/2011	03803	3	61.00
FFHR	5614876	2012	8/3/2012	03803	2	160.00
FFHR	5615191	2011	8/3/2011	18029D	1	13.50
FFHR	5615200	2011	7/21/2011	03803,03803A,04803,09803	1	40.10
FFHR	5615207	2011	8/23/2011	03803,04803,09803	1	15.00
FFHR	5615364	2011	7/28/2011	03803	1	30.00
FFHR	5615437	2011	7/27/2011	03803,03803E	1	22.00
FFHR	5615527	2011	8/9/2011	03842,03842H,03F838	1	36.00
FFHR	5616121	2011	9/27/2011	03803	1	10.00
FFHR	5616124	2011	9/29/2011	03803	1	8.00
FFHR	5616128	2011	9/20/2011	03803,21005	1	9.50
FFHR	5616131	2011	8/3/2011	03803	1	45.00
FFHR	5616613	2011	7/20/2011	03F836	4	21.00
FFHR	5616884	2011	8/5/2011	03037,03803,03803E,03842	2	55.00
FFHR	5616982	2011	6/29/2011	03803,21008,56002D	1	20.00
FFHR	5617852	2011	8/1/2011	03842,03842H	1	60.00
FFHR	5618005	2011	5/24/2011	18029A	1	12.00
FFHR	5618023	2011	7/28/2011	03803	1	45.00
FFHR	5618289	2011	8/5/2011	03803	2	103.00
FFHR	5618842	2011	1/26/2011	03803	1	0.50
FFHR	5619359	2011	8/2/2011	03803	1	16.00
FFHR	5619405	2011	8/1/2011	03803	1	16.00
FFHR	5619439	2011	8/5/2011	03F838	3	69.00
FFHR	5621013	2011	8/11/2011	03803	1	60.00
FFHR	5621488	2011	11/30/2010	03803	1	0.50
FFHR	5621564	2011	10/7/2010	03803	1	0.50
FFHR	5621636	2011	12/15/2010	03803	1	0.50
FFHR	5621752	2011	11/9/2010	03803	1	0.50
FFHR	5621770	2011	10/25/2010	03803	1	0.50
FFHR	5621844	2011	2/10/2011	03803	1	0.50
FFHR	5621856	2011	2/8/2011	03803	1	0.50
FFHR	5621865	2011	1/26/2011	03803	1	0.50
FFHR	5622352	2011	7/14/2011	03803	1	10.00
FFHR	5623502	2011	7/27/2011	03803,21005	1	20.00
FFHR	5623563	2011	7/15/2011	03803,21005	2	39.00
FFHR	5623672	2011	8/9/2011	03842,03842H,21005	2	115.00
FFHR	5624991	2011	8/22/2011	03803,03803E,03847,03847H,21005	2	64.00
FFHR	5625076	2011	9/21/2011	03803,03847H	1	12.00
FFHR	5625421	2011	7/22/2011	03803	1	10.00
FFHR	5625531	2011	8/2/2011	03803,03803E	1	20.00
FFHR	5625542	2011	8/2/2011	03037,03842,03842H,71003E	2	154.00
FFHR	5625737	2011	8/3/2011	03803,03803E	1	26.00
FFHR	5625774	2011	7/29/2011	03803	1	8.00
FFHR	5625796	2011	8/4/2011	03842,03842H,09842,21842	2	96.00
FFHR	5626068	2011	8/11/2011	03803,03803E,03F839	3	35.00
FFHR	5626794	2011	8/1/2011	03803	3	36.00
FFHR	5627346	2011	8/8/2011	03037	1	20.50
FFHR	5627522	2011	7/20/2011	18029A	1	14.00
FFHR	5627557	2011	9/9/2011	03803,03803E	1	39.00
FFHR	5627560	2011	8/19/2011	03803E,03842,03842H,03844,03844H	1	26.50
FFHR	5627563	2011	9/21/2011	03803,03803E	1	19.50
FFHR	5627582	2011	9/27/2011	03803,03803E,03842,03842H	1	18.50
FFHR	5627671	2011	8/15/2011	03803,03803E	1	13.00
FFHR	5627681	2011	9/22/2011	03803,03803A,03803E,71009	1	49.50
FFHR	5627772	2011	8/15/2011	03803,03803E	1	10.00
FFHR	5627900	2011	9/7/2011	03803	1	30.00
FFHR	5627945	2011	8/25/2011	03803,03842,03842H	1	46.50
FFHR	5627952	2011	9/12/2011	03803E,03842,03842H	1	47.00
FFHR	5628028	2011	8/19/2011	03803	1	12.00
FFHR	5628048	2011	8/8/2011	03803	1	40.00
FFHR	5628213	2011	9/1/2011	03803	1	12.00
FFHR	5628497	2012	10/6/2011	03803,03803E	1	16.00
FFHR	5628532	2011	9/15/2011	03803,03803E	1	8.00
FFHR	5628552	2011	9/20/2011	03803,03803E,71009	1	32.00
FFHR	5628665	2011	8/3/2011	18029A	1	24.00
FFHR	5629616	2011	8/3/2011	03803,21005	1	40.00
FFHR	5629917	2011	8/3/2011	03803	1	23.00
FFHR	5630912	2011	8/1/2011	03037,03803,03842H	1	37.00
FFHR	5631911	2011	8/4/2011	03803	1	11.00
FFHR	5632534	2011	8/16/2011	03803	1	14.00
FFHR	5632776	2011	9/27/2011	03842,03842H	1	18.00
FFHR	5632777	2011	9/20/2011	03803,03803E	1	34.00
FFHR	5632778	2011	8/11/2011	03803,03803E	1	24.00
FFHR	5632856	2011	8/8/2011	03803,04803,09803	3	35.00
FFHR	5632871	2011	8/3/2011	18029A	1	14.00
FFHR	5633232	2011	8/30/2011	03803	2	40.00
FFHR	5633475	2011	9/8/2011	03803,03803E,03842,03842H	1	36.50
FFHR	5633481	2011	9/28/2011	03803	1	15.00
FFHR	5633800	2011	8/11/2011	03803,03803E	1	45.00
FFHR	5633819	2011	8/25/2011	03803,04803,09803	1	20.00
FFHR	5634101	2011	7/28/2011	18029A	1	12.00
FFHR	5634798	2011	8/29/2011	03803,04803,09803	1	34.00
FFHR	5634848	2011	8/12/2011	03803,04803,09803	2	41.00
FFHR	5634903	2011	9/13/2011	03803,04803,09803	1	13.00
FFHR	5634917	2011	9/12/2011	03803,04803,09803	1	54.00
FFHR	5634955	2011	9/8/2011	03803,04803,09803	2	72.00
FFHR	5634968	2011	8/25/2011	03803,03803A,03842H,04803,09803	1	66.20
FFHR	5634998	2011	9/9/2011	03803,04803,09803	1	18.00
FFHR	5635075	2012	12/20/2011	03803,03F839	1	26.00
FFHR	5636266	2011	8/15/2011	03803,04803,09803	2	34.00
FFHR	5636377	2011	8/5/2011	03803,03803E	1	24.00
FFHR	5636776	2011	8/17/2011	03037	1	8.00
FFHR	5637490	2011	8/5/2011	03F839	1	50.00
FFHR	5637653	2011	8/5/2011	18029A	1	8.00
FFHR	5638046	2011	7/25/2011	03842H	2	13.00
FFHR	5638300	2011	8/17/2011	03803,04803,09803	1	21.00
FFHR	5638862	2011	9/7/2011	03803	1	16.00
FFHR	5638909	2011	7/29/2011	03803	2	72.00
FFHR	5639381	2011	8/3/2011	03803	1	5.00
FFHR	5640320	2011	8/8/2011	03803	1	20.00
FFHR	5641045	2011	8/12/2011	03803,03803E,03842,03842H	1	40.00
FFHR	5641945	2011	8/19/2011	03842,03842H,21005	1	19.00
FFHR	5641970	2011	8/23/2011	03842,03842H,21005	1	19.00
FFHR	5641981	2011	8/24/2011	03842,03842H,21005	1	17.00
FFHR	5641992	2011	8/22/2011	03842,03842H,21005	1	20.00
FFHR	5642455	2011	8/2/2011	03803,03842	1	24.00
FFHR	5642591	2011	8/4/2011	03803,21005	1	17.00
FFHR	5642747	2011	8/11/2011	03803,03R858	2	23.00
FFHR	5642851	2011	8/10/2011	03803A	2	64.00
FFHR	5644351	2011	8/5/2011	03803	1	13.00
FFHR	5646097	2011	8/16/2011	03803	1	17.00
FFHR	5646277	2011	8/16/2011	21008A	1	35.00
FFHR	5646537	2011	9/16/2011	03803,03803A,04803,09803	1	28.00
FFHR	5646621	2011	8/9/2011	03803,03847	1	26.00
FFHR	5647289	2012	1/6/2012	03803,03842,03842H	1	30.00
FFHR	5647294	2011	8/19/2011	03803A,03842,03842H,21005	1	42.00
FFHR	5648247	2011	8/19/2011	03842,03842H,03844H	1	29.00
FFHR	5648457	2011	9/20/2011	03803	1	5.00
FFHR	5648560	2011	9/2/2011	03803	1	8.00
FFHR	5649063	2011	8/17/2011	03803	1	48.00
FFHR	5649196	2011	7/28/2011	03803	1	18.00
FFHR	5649577	2011	8/15/2011	03803	1	8.00
FFHR	5649919	2011	8/12/2011	03803	1	10.00
FFHR	5650818	2011	8/17/2011	03842,03842H,04842A,09842	1	33.00
FFHR	5651183	2011	9/30/2011	03037,21005,71009	2	92.00
FFHR	5651352	2011	9/21/2011	03037	2	18.00
FFHR	5651837	2011	8/15/2011	18029A	1	7.00
FFHR	5651904	2011	8/23/2011	03803,03803A,03842	1	52.00
FFHR	5652150	2011	10/11/2010	03803	1	0.50
FFHR	5652212	2011	4/28/2011	03803	1	0.50
FFHR	5652588	2011	8/19/2011	03803,03842,03842H	1	14.00
FFHR	5652608	2011	9/12/2011	03803	1	28.00
FFHR	5652611	2011	8/23/2011	03803,03842,03842H	1	10.00
FFHR	5652630	2011	8/23/2011	03847H,71009	1	47.00
FFHR	5652751	2011	8/17/2011	03803	1	15.00
FFHR	5652783	2011	8/23/2011	03803,03803E,04803,09803	1	4.20
FFHR	5652800	2011	8/17/2011	03R263	1	32.00
FFHR	5652804	2011	8/26/2011	03803,03803E	1	22.00
FFHR	5652809	2011	9/20/2011	03803	1	28.00
FFHR	5652812	2011	8/18/2011	03003,03803,03803A,09803	1	7.00
FFHR	5653005	2011	9/14/2011	03803,03803E,04803,09803	2	28.90
FFHR	5653074	2011	8/30/2011	03803,03803E	2	59.00
FFHR	5653101	2011	9/6/2011	03803,03803E,04803,09803	1	14.00
FFHR	5653112	2011	9/7/2011	03037,03803	1	16.50
FFHR	5653368	2011	9/23/2011	03F837	2	41.00
FFHR	5653491	2011	8/23/2011	03803,04803,09803,21005,71009	1	35.00
FFHR	5653503	2011	8/30/2011	03842,03842H,03844	1	26.00
FFHR	5653737	2011	8/24/2011	03803,03R801,04803,09803	1	32.00
FFHR	5653841	2011	8/15/2011	03803,03803E,21005	1	33.00
FFHR	5653874	2011	9/13/2011	03803,04803,09803	1	18.00
FFHR	5653915	2011	8/17/2011	03842H	3	94.00
FFHR	5653927	2011	8/16/2011	03803,03842	2	23.50
FFHR	5653945	2011	9/15/2011	03803,04803,09803	1	9.50
FFHR	5654283	2011	9/2/2011	03003,03F839	4	822.90
FFHR	5654461	2011	8/16/2011	03803	1	24.50
FFHR	5654831	2011	8/26/2011	03803A	1	20.00
FFHR	5654836	2011	9/19/2011	03842,03842H	1	12.00
FFHR	5654841	2011	9/19/2011	03842,03842H	1	15.00
FFHR	5654866	2011	9/15/2011	03842,03842H	1	5.00
FFHR	5654951	2011	8/16/2011	18029A	1	8.00
FFHR	5654969	2011	8/15/2011	18029A	1	8.00
FFHR	5654987	2011	8/22/2011	18029A	1	10.00
FFHR	5655216	2011	8/22/2011	18029A	1	10.00
FFHR	5655259	2011	8/22/2011	18029A	1	10.00
FFHR	5655438	2011	9/1/2011	03803,03803E,03F839	1	23.00
FFHR	5655493	2011	8/19/2011	03037	1	19.00
FFHR	5655504	2011	9/29/2011	03803	1	50.00
FFHR	5656216	2011	8/16/2011	03803,03844	1	24.00
FFHR	5656867	2011	9/13/2011	03803D	2	90.00
FFHR	5657068	2011	9/16/2011	03842H,03844,03844H	1	34.00
FFHR	5657120	2011	9/7/2011	03844,03844H	1	20.00
FFHR	5657146	2011	8/24/2011	03803	1	15.00
FFHR	5657379	2011	8/18/2011	03803	2	55.00
FFHR	5658593	2012	10/12/2011	21008,56002,71004A,71009	2	160.00
FFHR	5658606	2012	9/26/2012	03803,56002	2	32.00
FFHR	5658652	2011	8/18/2011	03803	1	3.00
FFHR	5658855	2011	8/26/2011	03803	1	26.00
FFHR	5658921	2011	8/18/2011	03803	3	112.00
FFHR	5659085	2011	9/28/2011	03803A	2	56.00
FFHR	5659099	2011	9/21/2011	03803A	1	48.00
