HR2	HR3	NHR2	NHR3
140.00	87.00	11.00	45.00
140.00	87.00	50.00	45.00
140.00	87.00	35.00	45.00
140.00	87.00	22.00	45.00
140.00	87.00	1.00	45.00
140.00	87.00	16.00	45.00
140.00	87.00	42.00	44.50
140.00	87.00	48.50	44.50
140.00	86.50	20.20	44.50
140.00	86.50	22.00	44.50
140.00	86.00	36.00	44.50
140.00	86.00	16.50	44.50
140.00	86.00	36.00	44.50
140.00	86.00	24.00	44.30
140.00	86.00	10.00	44.00
140.00	86.00	4.00	44.00
140.00	86.00	29.50	44.00
140.00	86.00	16.00	44.00
140.00	86.00	8.00	44.00
140.00	86.00	146.00	44.00
140.00	86.00	24.00	44.00
140.00	86.00	50.00	44.00
140.00	86.00	128.00	44.00
139.50	86.00	84.00	44.00
139.00	86.00	15.00	44.00
139.00	86.00	56.00	44.00
139.00	86.00	22.00	44.00
139.00	86.00	57.00	44.00
139.00	86.00	30.00	44.00
139.00	86.00	34.00	44.00
139.00	86.00	13.00	44.00
139.00	86.00	26.00	44.00
139.00	86.00	50.00	44.00
138.00	86.00	48.00	44.00
138.00	86.00	24.00	44.00
138.00	86.00	21.00	44.00
138.00	86.00	56.00	44.00
138.00	86.00	46.00	44.00
138.00	86.00	100.00	44.00
138.00	86.00	34.50	44.00
137.50	86.00	43.80	44.00
137.00	86.00	34.00	44.00
137.00	86.00	53.50	44.00
137.00	86.00	175.00	44.00
137.00	86.00	38.00	44.00
136.50	86.00	24.00	44.00
136.50	86.00	13.00	44.00
136.50	85.50	24.00	44.00
136.00	85.00	25.00	44.00
136.00	85.00	16.00	44.00
136.00	85.00	22.00	44.00
136.00	85.00	5.00	44.00
136.00	85.00	4.50	44.00
136.00	85.00	10.50	44.00
136.00	85.00	19.00	44.00
136.00	85.00	28.00	44.00
136.00	85.00	14.00	44.00
136.00	85.00	32.00	44.00
136.00	85.00	52.50	44.00
136.00	85.00	12.00	44.00
136.00	85.00	50.00	44.00
136.00	85.00	36.00	44.00
136.00	85.00	8.00	44.00
