LC1	LC2	LC3	LC4	LC5
88D229	0.00	0.00	0.00	362.00	0.00
88D230	0.00	0.00	0.00	103.00	0.00
88D231	0.00	0.00	0.00	211.40	0.00
88D232	0.00	0.00	0.00	245.00	0.00
88D233	0.00	0.00	0.00	227.50	0.00
88D234	0.00	0.00	0.00	210.00	0.00
88D235	0.00	0.00	0.00	114.00	0.00
88D236	0.00	0.00	0.00	300.00	0.00
88D237	0.00	0.00	0.00	117.00	0.00
88D238	0.00	0.00	0.00	105.00	0.00
88D239	0.00	0.00	0.00	262.50	0.00
88D240	0.00	0.00	0.00	140.10	0.00
88D241	0.00	0.00	0.00	192.00	0.00
88D242	0.00	0.00	0.00	223.50	0.00
88D243	0.00	0.00	0.00	289.00	0.00
88D244	0.00	0.00	0.00	138.00	0.00
88D245	0.00	0.00	0.00	228.50	0.00
88D246	0.00	0.00	0.00	76.00	0.00
88D247	0.00	0.00	0.00	108.00	0.00
88D248	0.00	0.00	0.00	108.00	0.00
88D249	0.00	0.00	0.00	114.00	0.00
88D250	0.00	0.00	0.00	397.00	0.00
88D251	0.00	0.00	0.00	240.00	0.00
88D252	0.00	0.00	0.00	458.50	0.00
88D253	0.00	0.00	0.00	146.50	0.00
88D254	0.00	0.00	0.00	216.00	0.00
88D255	0.00	0.00	0.00	121.10	0.00
88D256	0.00	0.00	0.00	72.00	0.00
88D257	0.00	0.00	0.00	114.00	0.00
88D258	0.00	0.00	0.00	111.00	0.00
88D259	0.00	0.00	0.00	107.00	0.00
88D260	0.00	0.00	0.00	306.00	0.00
88D261	0.00	0.00	0.00	86.00	0.00
88D262	0.00	0.00	0.00	326.10	0.00
88D263	0.00	0.00	0.00	423.60	0.00
88D264	0.00	0.00	0.00	133.10	0.00
88D265	0.00	0.00	0.00	112.00	0.00
88D266	0.00	0.00	0.00	113.00	0.00
88R451	0.00	0.00	0.00	176.60	0.00
96R831	0.00	0.00	0.00	800.40	0.00
96T800	0.00	0.00	0.00	432.00	0.00
99R194	0.00	0.00	0.00	162.10	0.00
