Consignees,Number of shipments,Number of US ports,Number of shippers,Number of manufacturers,Number of sampled,Number of refused,Fraction of sampled,Fraction of refused out of sampled,Normalized weight,Fraction of weight of shipment where manufacturer is also shipper,log distance consignee US port,coef var number of manufacturers per year,coef var number of shipments per year,total weight below 10%,Product diversity,Inspected,Inspection outcome
Consignees,28479,22,240,181,1329,39,0.046665964,0.029345372,1.955967677,0.999390087,3.048985251,0.619237653,0.861812601,0,0.645990848,0,0
Consignees,25028,13,320,284,1296,65,0.051782004,0.050154321,0.016742587,0.54323326,1.273836099,0.398426768,0.591855271,0,0,1,1
Consignees,21986,23,106,93,2765,66,0.125761848,0.023869801,0.041394636,0.96979738,2.181659739,0.399288453,0.433087618,0,0,0,0
Consignees,21897,22,192,164,1372,34,0.062656985,0.024781341,3.56563582,0.989152572,3.115640656,0.195496777,0.406221376,0,3.541344755,1,1
Consignees,20310,23,83,87,1582,106,0.077892664,0.067003793,3.858880226,0.98688638,3.389335009,0.22607235,0.364999937,0,0,0,0
Consignees,16777,11,325,280,1542,82,0.091911546,0.053177691,0.025528533,0.85480941,0.982707951,0.194317307,0.354718276,0,0,0,0
Consignees,16482,12,338,279,1400,106,0.084941148,0.075714286,0.017081463,0.463777248,1.632597233,0.569262477,0.744309388,0,2.21760117,0,0
Consignees,14372,18,184,135,483,39,0.033607014,0.080745342,1.678969241,0.945387926,3.090579073,0.580609936,0.798886742,0,1.304888658,0,0
Consignees,13515,21,177,132,862,27,0.063780984,0.031322506,0.133816652,0.869848647,3.42087926,0.216853583,0.164718297,0,0.307785625,0,0
Consignees,12588,18,106,76,365,51,0.028995869,0.139726027,NaN,NaN,0,0.250663291,NaN,NaN,0,0,0
Consignees,12135,6,100,84,1070,35,0.088174701,0.03271028,0.02992957,0.927543404,2.523127106,0.137585618,0.185635559,0,0,0,0
Consignees,10918,10,177,146,720,44,0.065946144,0.061111111,0.163726137,0.437412163,1.671594531,0.185915712,0.334631107,0,0,0,0
Consignees,10882,12,34,22,190,5,0.017460026,0.026315789,0.01087596,0.342182203,2.566078396,0.330411255,0.324938618,0,0,0,0
Consignees,10713,13,21,13,336,10,0.031363764,0.029761905,0.150228097,0.8029441,2.868932585,0.324588441,0.337755529,0,0,0,0
Consignees,9657,12,72,60,302,0,0.031272652,0,0.107149427,0.980872613,3.179051776,0.185626353,0.519806323,0,0,0,0
Consignees,9450,22,50,47,1110,49,0.117460317,0.044144144,0.162586152,0.903312321,3.477725303,0.545873732,0.666754926,0,0,0,0
Consignees,8992,5,18,13,672,4,0.074733096,0.005952381,0.038427473,0.487029211,2.011545939,0.344706507,0.538532094,0,0.476685022,0,0
Consignees,8916,11,5,5,242,0,0.027142216,0,0.014312616,0.057064519,3.267499459,0.530330086,0.184072749,0,0.275255076,0,0
Consignees,8135,12,110,88,418,15,0.051382913,0.035885167,0.090014242,0.948819507,2.992840863,0.109489739,0.387196944,0,0,0,0
Consignees,7757,16,3,2,250,9,0.032228954,0.036,0.074573576,0.999766371,2.933129721,0.3,0.32460123,0,1.105807758,0,0
Consignees,7545,16,133,119,710,36,0.094102054,0.050704225,0.849347829,0.126371184,3.19172824,0.378333347,0.312920129,0,0,0,0
Consignees,7449,6,27,23,2083,5,0.27963485,0.002400384,0.682911596,0.998549462,2.486917538,0.29204083,0.365342063,0,1.738630301,0,0
Consignees,7324,12,13,5,219,0,0.029901693,0,0.009209602,0.122561693,3.005602805,0.585768726,0.672857606,0,0,0,0
Consignees,6751,15,110,88,405,39,0.059991112,0.096296296,0.60829884,0.479007206,3.09673814,0.268898193,0.64328447,0,1.261222965,1,0
Consignees,6507,17,128,111,385,41,0.059167051,0.106493506,0.035407402,0.379042369,2.877890926,0.268337552,0.338768439,0,2.612312724,1,1
Consignees,6485,17,6,6,86,0,0.013261372,0,0.032896968,0.995565635,3.432100634,0.547722558,1.138082916,0,0,1,1
Consignees,6355,9,54,53,303,0,0.047678993,0,0.019047879,0.905983881,2.974560284,0.134923397,0.344210911,0,0,0,0
Consignees,6345,11,115,104,494,19,0.07785658,0.038461538,0.02455318,0.963233009,2.962266295,0.300270215,0.232725717,0,0,1,1
Consignees,6325,10,249,227,410,13,0.064822134,0.031707317,0.021834573,0.888767709,1.539859914,0.573337337,0.608702084,0,0,0,0
Consignees,6295,18,133,109,483,102,0.076727562,0.211180124,0.069297156,0.86144144,2.12755499,0.329268293,0.564661571,0,0,0,0
Consignees,6165,8,184,169,426,21,0.069099757,0.049295775,0.095367406,0.945705399,2.642894783,0.673662421,0.762986745,0,0,0,0
Consignees,6063,5,64,53,83,1,0.013689593,0.012048193,0.013032167,0.463306271,1.42317719,0.548290833,0.756706625,0,0,0,0
Consignees,5968,16,115,102,1048,66,0.175603217,0.062977099,0.265696531,0.906533889,2.410901283,0.205802795,0.545319886,0,0.879836593,0,0
Consignees,5912,8,15,8,2397,60,0.405446549,0.025031289,0.118664523,0.495729755,3.105696353,0.40459117,0.933524288,0,0,1,1
Consignees,5690,11,15,15,308,0,0.054130053,0,0.011073181,0.989944889,2.75047957,0.651724557,0.361761522,0,0,0,0
Consignees,5676,5,155,141,605,13,0.106589147,0.021487603,0.055129259,0.984611893,1.461348342,0.38745793,0.264561679,0,0,1,0
Consignees,5557,4,167,153,324,27,0.058304841,0.083333333,0.013066682,0.693996821,1.093512313,0.275943728,0.485591042,0,0,0,0
Consignees,5547,14,74,54,417,35,0.075175771,0.083932854,0.319483014,0.129797448,2.491644553,0.41809974,0.305396314,0,0,0,0
Consignees,5424,1,43,36,3515,100,0.648045723,0.028449502,0.028743447,0.617026892,0.709968839,0.592787285,0.705207333,0,2.532426208,1,0
Consignees,5200,1,179,159,422,75,0.081153846,0.177725118,0.019619216,0.760704419,0.281070574,0.12592716,0.129259812,0,0,0,0
Consignees,5128,9,169,153,210,0,0.040951638,0,0.029086694,0.358834233,3.107398691,0.066151624,0.577918538,0,3.222793922,1,1
Consignees,5038,14,64,58,504,21,0.100039698,0.041666667,0.031250313,0.848474249,2.898301255,0.180157838,0.499329869,0,0.797867503,0,0
Consignees,5027,14,81,74,257,13,0.051123931,0.050583658,0.058737048,0.837576418,2.436418607,0.56912408,0.835644203,0,0.340122401,1,0
Consignees,4823,16,94,89,366,29,0.075886378,0.079234973,0.167411285,0.771671064,2.947617254,0.253361409,0.234551459,0,0,1,0
Consignees,4681,2,56,54,397,6,0.084810938,0.01511335,0.003342039,0.997290774,1.376662754,0.947105038,1.326048722,0,0,0,0
Consignees,4517,1,117,108,301,41,0.066637149,0.136212625,0.017794974,0.814283128,0.008936119,0.143311408,0.423419939,0,0,0,0
Consignees,4488,11,57,51,596,39,0.132798574,0.065436242,NaN,NaN,0,0.740591962,NaN,NaN,3.133447608,0,0
Consignees,4486,16,121,105,486,27,0.108337049,0.055555556,0.774306266,0.992777105,3.267117087,0.296798206,0.667893263,0,0,1,1
Consignees,4383,2,78,71,182,20,0.04152407,0.10989011,0.017052184,0.881977667,0.612517497,0.260053759,0.28309549,0,1.821075305,0,0
Consignees,4246,11,25,22,445,38,0.104804522,0.085393258,0.055305681,0.966877518,3.294612958,0.495452384,0.678619685,0,2.65555569,1,1
Consignees,4197,10,86,73,267,14,0.063616869,0.052434457,0.374910008,0.995200436,3.13713662,1.052299654,1.545228214,0,0,0,0
Consignees,3995,17,120,112,420,17,0.105131414,0.04047619,0.04030659,0.904094547,3.044648983,0.414229096,0.431842626,0,0,0,0
Consignees,3891,3,55,44,70,0,0.017990234,0,0.011149655,0.84908534,1.846242116,0.629990407,1.066753319,0,3.421661642,0,0
Consignees,3886,11,98,86,493,32,0.126865672,0.064908722,1.340887228,0.999332171,3.202794584,0.463314189,0.308023984,0,0.690424201,0,0
Consignees,3843,4,59,53,273,3,0.071038251,0.010989011,0.016151537,0.941822023,1.439383109,0.266913677,0.373881188,0,0,0,0
Consignees,3800,8,121,107,231,11,0.060789474,0.047619048,0.206852457,0.395260385,2.303826718,0.589219919,0.586392592,0,3.504291927,0,0
Consignees,3726,8,139,125,334,32,0.089640365,0.095808383,0.093914504,0.983243781,3.233439421,0.370527635,0.533426913,0,3.235478438,0,0
Consignees,3705,12,48,41,616,10,0.166261808,0.016233766,0.022156116,0.898849641,2.736679517,0.346944333,0.411291001,0,0.115993579,1,1
Consignees,3531,2,17,15,27,3,0.007646559,0.111111111,0.006415947,1,2.529585599,0.282842712,0.65909197,0,0,0,0
Consignees,3494,12,56,49,159,2,0.045506583,0.012578616,7.736682004,0.999760769,2.948453741,0.164846945,0.851611464,0,2.309600797,0,0
Consignees,3368,17,75,65,719,49,0.21347981,0.068150209,0.494309112,0.993224634,2.93832174,1.013279179,1.030369442,0,0.027559491,0,0
Consignees,3348,2,11,7,110,0,0.032855436,0,0.005333879,0.799629061,3.229523239,0.666666667,0.825491126,0,0,0,0
Consignees,3342,10,86,74,441,24,0.131956912,0.054421769,9.624846434,0.99980103,2.808655807,0.263703578,0.296929767,0,0,0,0
Consignees,3294,5,23,21,172,4,0.052216151,0.023255814,0.013589009,0.945165134,1.932007257,0.375,0.602316502,0,0,0,0
Consignees,3246,3,183,164,166,15,0.051139864,0.090361446,0.024734364,0.542967237,0.960325095,0.193260704,0.253140787,0,0,0,0
Consignees,3182,8,145,133,354,0,0.111250786,0,0.017656392,0.801061347,2.083768769,0.767951258,1.104744892,0,2.860642914,0,0
Consignees,3135,15,65,57,341,23,0.10877193,0.06744868,0.074724251,0.820315276,3.40249922,0.569950656,0.91030478,0,3.011128592,0,0
Consignees,3027,5,26,21,73,0,0.024116287,0,0.028981621,0.99864504,1.95703393,0.375,0.591839253,0,0.586760844,0,0
Consignees,3006,3,50,50,192,3,0.063872255,0.015625,0.007156708,0.89036723,1.046216532,0.417090514,0.378475958,0,0,0,0
Consignees,2975,15,66,60,332,27,0.111596639,0.081325301,0.052436339,0.926703153,3.172461939,0.385016049,0.893511958,0,0,0,0
Consignees,2822,6,101,91,215,15,0.076187101,0.069767442,0.02877788,0.745423599,3.399756206,0.245590109,0.362011272,0,0,0,0
Consignees,2810,3,17,13,78,5,0.027758007,0.064102564,0.020643915,0.957753653,1.7411667,0.28723278,0.489246743,0,0,0,0
Consignees,2782,1,56,49,38,1,0.013659238,0.026315789,0.015879766,0.568720075,0.385414277,1.056400624,1.003457629,0,0,1,1
Consignees,2557,9,52,45,270,4,0.105592491,0.014814815,0.019149474,0.993785198,3.289275856,0.357366002,0.57283979,0,0,0,0
Consignees,2521,18,6,4,40,0,0.01586672,0,0.94137076,0.999966854,3.397959944,0.375,0.75954561,0,0,0,0
Consignees,2513,17,18,13,216,0,0.085953044,0,0.023781627,0.923789483,3.087533352,0.735597048,0.917797478,0,0,0,0
Consignees,2473,3,46,43,247,51,0.09987869,0.206477733,0.166671052,0.994485941,1.753703312,0.216301617,0.566411236,0,0,0,0
Consignees,2461,11,78,65,217,12,0.088175538,0.055299539,0.029493935,0.657420903,3.398784035,0.776851686,0.988631494,0,0,0,0
Consignees,2450,1,61,52,155,12,0.063265306,0.077419355,0.017158482,0.238760373,1.387343765,0.322748612,0.374550978,0,0,0,0
Consignees,2431,6,40,37,237,14,0.097490745,0.05907173,0.018742573,0.961238033,3.562433239,0.629321792,0.938505311,0,0,0,0
Consignees,2399,13,60,57,331,6,0.137974156,0.018126888,0.121736005,0.997673328,2.528334803,1.30318569,1.363687169,0,0,0,0
Consignees,2339,5,10,9,32,0,0.01368106,0,0.182567373,0.99898874,2.314123933,0.596284794,1.185334391,0,0,0,0
Consignees,2336,11,7,5,261,13,0.111729452,0.049808429,1.865620299,0.999889163,3.355727873,0.257129739,1.100587719,0,2.102793335,1,1
Consignees,2318,6,6,7,29,0,0.012510785,0,0.040102288,0.994711569,3.22134064,0.475073094,0.657582777,0,1.22868696,1,1
Consignees,2318,8,95,87,239,40,0.103106126,0.167364017,0.047108836,0.94327856,2.323048821,1.256354066,1.757044432,0,0,0,0
Consignees,2291,3,36,37,82,0,0.03579223,0,0.011319855,0.652663861,1.47046277,0.449005664,0.418441314,0,1.945815139,0,0
Consignees,2272,3,89,77,262,20,0.115316901,0.076335878,0.023504689,0.729891187,1.827933573,0.733460778,0.93048627,0,0,0,0
Consignees,2177,18,31,23,241,2,0.110702802,0.008298755,0.079681114,0.748380194,3.253301634,0.358416802,0.623562127,0,0,1,1
Consignees,2122,6,73,71,191,2,0.090009425,0.010471204,0.720320536,0.996171531,2.291379177,0.437444882,0.53598552,0,2.951932286,1,1
Consignees,2075,15,26,20,124,1,0.059759036,0.008064516,1.669627187,0.99452225,3.411910034,0.357053251,0.677415357,0,0,0,0
Consignees,2068,4,73,71,65,3,0.031431335,0.046153846,0.023182593,0.727180682,2.97658048,0.443181818,0.818163813,0,1.7581738,0,0
Consignees,2027,4,49,47,202,7,0.099654662,0.034653465,0.01586191,0.972223449,1.296816551,0.611026648,0.757013094,0,0,0,0
Consignees,1914,3,3,4,128,4,0.066875653,0.03125,0.051447068,0.992992812,3.140770433,0.610557995,0.502304635,0,0,0,0
Consignees,1882,6,42,45,36,1,0.019128587,0.027777778,0.016212576,0.981846611,1.37696064,0.443143024,0.425842335,0,3.007879181,0,0
Consignees,1858,9,6,7,65,0,0.034983854,0,0.027013628,0.998573994,2.596379646,0.62749502,0.358549029,0,2.574464211,0,0
Consignees,1854,3,68,59,94,4,0.050701187,0.042553191,0.016891281,0.857607751,2.065047988,0.451542891,0.635779884,0,0,0,0
Consignees,1826,13,79,64,109,0,0.059693319,0,0.439339176,0.147469892,3.263441731,0.575836947,0.878494692,0,2.273959193,1,1
Consignees,1818,5,42,31,87,12,0.047854785,0.137931034,0.077903849,0.979174845,1.946499767,0.35149722,0.495970678,0,1.464967767,0,0
Consignees,1799,4,16,13,32,0,0.01778766,0,0.015651703,0.903018361,3.24041188,0.15713484,0.4315749,0,2.342079709,0,0
Consignees,1744,8,3,2,54,0,0.030963303,0,0.010669551,0.997468903,1.919395972,0.372677996,0.217855955,0,1.022743527,0,0
Consignees,1698,8,48,47,476,38,0.2803298,0.079831933,8.498920952,0.99987951,2.597304561,0.661054437,0.947640009,0,0,0,0
Consignees,1696,13,14,14,131,9,0.077240566,0.06870229,0.014724818,0.889540808,3.183491902,0.430331483,0.988885592,0,0,0,0
Consignees,1689,3,10,9,132,0,0.078152753,0,0.007682033,0.995794637,1.405848742,0.457860806,0.49810801,0,0,0,0
Consignees,1653,10,94,76,105,0,0.063520871,0,0.041253091,0.880352485,3.250867608,0.337306971,0.928288209,0,0,0,0
Consignees,1649,2,25,28,156,11,0.09460279,0.070512821,0.021431832,1,2.567468246,0.114665965,0.580607994,0,0,0,0
Consignees,1648,3,20,18,29,0,0.017597087,0,3.670874741,0.999943421,1.702801466,0.530330086,0.798206041,0,0,0,0
Consignees,1609,1,93,89,126,20,0.078309509,0.158730159,0.022538621,0.388258291,0.709968839,0.26044089,0.151737807,0,0,0,0
Consignees,1584,8,52,43,193,19,0.121843434,0.098445596,0.013375552,0.583967658,2.570258351,0.617412623,0.872117448,0,0,0,0
Consignees,1584,10,4,3,46,0,0.029040404,0,0.047736198,0.206529785,3.022176662,0.557773351,1.101349452,0,0,0,0
