"","Consignees","Number.of.shipments","Number.of.US.ports","Number.of.shippers","Number.of.manufacturers","Number.of.sampled","Number.of.refused","Fraction.of.sampled","Fraction.of.refused.out.of.sampled","Normalized.weight","Fraction.of.weight.of.shipment.where.manufacturer.is.also.shipper","log.distance.consignee.US.port","coef.var.number.of.manufacturers.per.year","coef.var.number.of.shipments.per.year","total.weight.below.10.","Product.diversity","Inspected","Inspection.outcome","inspection_score","risk_score"
"83","Consignees",2336,11,7,5,261,13,0.111729452,0.049808429,1.865620299,0.999889163,3.355727873,0.257129739,1.100587719,0,2.102793335,1,1,0.693666076082449,0.999998997627858
"84","Consignees",2318,6,6,7,29,0,0.012510785,0,0.040102288,0.994711569,3.22134064,0.475073094,0.657582777,0,1.22868696,1,1,0.0764728481102774,0.998729869031707
"85","Consignees",2318,8,95,87,239,40,0.103106126,0.167364017,0.047108836,0.94327856,2.323048821,1.256354066,1.757044432,0,0,0,0,2.45950837747414e-11,0.322907277725108
"86","Consignees",2291,3,36,37,82,0,0.03579223,0,0.011319855,0.652663861,1.47046277,0.449005664,0.418441314,0,1.945815139,0,0,8.10565447934415e-07,0.81627924860389
"87","Consignees",2272,3,89,77,262,20,0.115316901,0.076335878,0.023504689,0.729891187,1.827933573,0.733460778,0.93048627,0,0,0,0,1.0140739979759e-11,0.0643867985372453
"88","Consignees",2177,18,31,23,241,2,0.110702802,0.008298755,0.079681114,0.748380194,3.253301634,0.358416802,0.623562127,0,0,1,1,0.0810883090050172,0.97868190786281
"89","Consignees",2122,6,73,71,191,2,0.090009425,0.010471204,0.720320536,0.996171531,2.291379177,0.437444882,0.53598552,0,2.951932286,1,1,8.46175973839315e-10,0.797600370716737
"90","Consignees",2075,15,26,20,124,1,0.059759036,0.008064516,1.669627187,0.99452225,3.411910034,0.357053251,0.677415357,0,0,0,0,0.149387413201491,0.97463467695709
"91","Consignees",2068,4,73,71,65,3,0.031431335,0.046153846,0.023182593,0.727180682,2.97658048,0.443181818,0.818163813,0,1.7581738,0,0,4.8008410985114e-11,0.672266079033186
"92","Consignees",2027,4,49,47,202,7,0.099654662,0.034653465,0.01586191,0.972223449,1.296816551,0.611026648,0.757013094,0,0,0,0,7.39337104993857e-08,0.08725281666208
"93","Consignees",1914,3,3,4,128,4,0.066875653,0.03125,0.051447068,0.992992812,3.140770433,0.610557995,0.502304635,0,0,0,0,0.0924438402079701,0.711389701555709
"94","Consignees",1882,6,42,45,36,1,0.019128587,0.027777778,0.016212576,0.981846611,1.37696064,0.443143024,0.425842335,0,3.007879181,0,0,2.76906580477449e-07,0.86679905027214
"95","Consignees",1858,9,6,7,65,0,0.034983854,0,0.027013628,0.998573994,2.596379646,0.62749502,0.358549029,0,2.574464211,0,0,0.187895274448552,0.999998936655694
"96","Consignees",1854,3,68,59,94,4,0.050701187,0.042553191,0.016891281,0.857607751,2.065047988,0.451542891,0.635779884,0,0,0,0,7.704350441819e-10,0.0482208267898726
"97","Consignees",1826,13,79,64,109,0,0.059693319,0,0.439339176,0.147469892,3.263441731,0.575836947,0.878494692,0,2.273959193,1,1,1.0033985440167e-06,0.932778192350075
"98","Consignees",1818,5,42,31,87,12,0.047854785,0.137931034,0.077903849,0.979174845,1.946499767,0.35149722,0.495970678,0,1.464967767,0,0,1.03065531132766e-05,0.871386796702684
"99","Consignees",1799,4,16,13,32,0,0.01778766,0,0.015651703,0.903018361,3.24041188,0.15713484,0.4315749,0,2.342079709,0,0,0.00122287459610702,0.999862990947847
"100","Consignees",1744,8,3,2,54,0,0.030963303,0,0.010669551,0.997468903,1.919395972,0.372677996,0.217855955,0,1.022743527,0,0,0.440148893367729,0.997357323312081
"101","Consignees",1698,8,48,47,476,38,0.2803298,0.079831933,8.498920952,0.99987951,2.597304561,0.661054437,0.947640009,0,0,0,0,0.166641145915368,0.661139659362908
"102","Consignees",1696,13,14,14,131,9,0.077240566,0.06870229,0.014724818,0.889540808,3.183491902,0.430331483,0.988885592,0,0,0,0,0.109420213142973,0.992988512194721
"103","Consignees",1689,3,10,9,132,0,0.078152753,0,0.007682033,0.995794637,1.405848742,0.457860806,0.49810801,0,0,0,0,0.0069743976617866,0.533379089142431
"104","Consignees",1653,10,94,76,105,0,0.063520871,0,0.041253091,0.880352485,3.250867608,0.337306971,0.928288209,0,0,0,0,3.21204368319589e-10,0.63227579043843
"105","Consignees",1649,2,25,28,156,11,0.09460279,0.070512821,0.021431832,1,2.567468246,0.114665965,0.580607994,0,0,0,0,2.34754729966726e-06,0.122330862023088
"106","Consignees",1648,3,20,18,29,0,0.017597087,0,3.670874741,0.999943421,1.702801466,0.530330086,0.798206041,0,0,0,0,0.18259809843308,0.41576714257285
"107","Consignees",1609,1,93,89,126,20,0.078309509,0.158730159,0.022538621,0.388258291,0.709968839,0.26044089,0.151737807,0,0,0,0,5.5448620110923e-14,0.0288753489613794
"108","Consignees",1584,8,52,43,193,19,0.121843434,0.098445596,0.013375552,0.583967658,2.570258351,0.617412623,0.872117448,0,0,0,0,5.01336822965063e-06,0.760676612166259
"109","Consignees",1584,10,4,3,46,0,0.029040404,0,0.047736198,0.206529785,3.022176662,0.557773351,1.101349452,0,0,0,0,0.575053995290887,0.998264498169364
"110","Consignees",1579,3,23,20,186,14,0.117796073,0.075268817,0.038108059,1,2.139975635,0.771448316,0.902833965,0,0,0,0,0.000220778412293945,0.463530074520346
"111","Consignees",1552,2,5,4,156,0,0.100515464,0,0.001288552,1,1.399209481,0.494871659,0.74745073,0,0,0,0,0.0501304444602488,0.562329760276613
"112","Consignees",1549,6,42,39,81,5,0.052291801,0.061728395,0.049623514,0.885920856,3.227834069,0.898020783,1.578794115,0,0,0,0,5.1315285190193e-06,0.734836695725459
"113","Consignees",1521,3,21,15,266,15,0.174884944,0.056390977,0.008095756,0.793857617,1.712213324,0.634590825,0.654073697,0,0.047896336,0,0,0.00142743209516611,0.568173279414668
"114","Consignees",1490,6,19,15,132,7,0.088590604,0.053030303,0.008523294,0.994951984,2.355640535,0.210427765,0.377131347,0,2.885380955,0,0,0.0029092735411317,0.999763786384775
"115","Consignees",1465,5,15,12,11,0,0.007508532,0,0.012647154,0.970141717,3.507233942,0.420039906,0.922471912,0,0,0,0,0.00604218303134119,0.826091618879418
"116","Consignees",1456,1,23,19,75,0,0.051510989,0,0.016231682,0.959177404,1.29701929,0.444799065,0.476079709,0,2.014211459,1,0,4.95930620803202e-05,0.901208949586265
"117","Consignees",1443,9,11,9,223,20,0.154539155,0.089686099,0.023356009,0.997385602,3.419188446,1.03252879,0.789396843,0,0,0,0,0.165976017706502,0.962365835095217
"118","Consignees",1441,4,14,11,203,49,0.140874393,0.24137931,0.019767573,0.939373945,3.122093716,0.688792564,1.00055808,0,0,1,1,0.0109063606950736,0.800056328877012
"119","Consignees",1427,3,8,9,40,11,0.028030834,0.275,0.034488115,0.999116145,2.543984288,0.838033393,0.447440325,0,0,0,0,0.0107411128173118,0.650855793561146
"120","Consignees",1424,4,13,7,23,11,0.016151685,0.47826087,0.022437397,0.432052431,3.174811539,0.6,1.554960823,0,0,0,0,0.0594185034417866,0.973414244687153
"121","Consignees",1394,3,27,27,65,12,0.046628407,0.184615385,0.012455077,0.975603114,2.492791377,1.031328271,1.139791692,0,0,1,1,2.8656697981512e-05,0.455049310933282
"122","Consignees",1385,8,7,17,34,0,0.024548736,0,0.014057647,0.764641891,3.00619841,0.756912589,0.437411961,0,2.024350827,1,1,0.0122819443716334,0.999669571946867
"123","Consignees",1377,14,52,46,176,16,0.127814089,0.090909091,0.030920713,0.809081794,2.965885538,0.416040593,0.710977736,0,0,0,0,4.87398142058588e-05,0.907119677220323
"124","Consignees",1367,11,88,79,110,0,0.080468178,0,0.074516504,0.932184883,3.309175298,0.930287618,1.323356597,0,0,0,0,8.0621411778741e-10,0.723048381286117
"125","Consignees",1350,3,11,10,92,0,0.068148148,0,0.022195327,0.992013949,2.475803442,0.282842712,0.113137085,0,2.968554413,0,0,0.00277360332714455,0.999967464371117
"126","Consignees",1334,2,25,27,71,0,0.053223388,0,0.010751014,0.723466294,0.392609916,0.484122918,0.399535106,0,2.138827515,0,0,1.20929594042282e-05,0.823354710432675
"127","Consignees",1313,16,28,25,92,5,0.070068545,0.054347826,0.460026379,0.518459486,3.367879894,0.921085642,1.095231884,0,2.48894081,0,0,0.0687950979207337,0.999984622765753
"128","Consignees",1311,12,10,10,186,65,0.14187643,0.349462366,0.007387204,0.999383657,3.280478173,0.469115342,1.332560122,0,2.670151012,1,0,0.173520532056438,0.999999965155273
"129","Consignees",1302,9,16,12,67,0,0.051459293,0,3.549221267,0.999511044,2.772814785,0.501996016,1.933063002,0,2.59169894,0,0,0.610619097882525,0.999999445969894
"130","Consignees",1290,6,6,7,88,4,0.068217054,0.045454545,0.031165149,0.978508397,2.94110889,0.496078371,0.650139354,0,0,0,0,0.0905021538987613,0.862009121540374
"131","Consignees",1287,5,14,14,62,0,0.048174048,0,0.01462323,0.986597171,1.826375091,0.753308734,1.090315295,0,0,0,0,0.00589692215653311,0.782252166123023
"132","Consignees",1261,17,56,50,206,24,0.163362411,0.116504854,0.065924487,0.957747914,3.244601002,0.350524616,0.493326437,0,0,0,0,8.19783303741005e-05,0.921624976575273
"133","Consignees",1261,13,31,27,78,7,0.06185567,0.08974359,0.386682097,0.639500219,3.450647319,0.912021711,1.496598086,0,0,0,0,0.0314488224449141,0.961679616754763
"134","Consignees",1231,6,21,19,213,0,0.173030057,0,0.238357324,0.921552834,2.654540948,0.375,0.319601263,0,0,0,0,0.00214598151819484,0.739375859569093
