consignee,numManufacturers,numImporters,frac of KG shipped when manu equals shipper,normalizedWeight,numUSports,consignee inexperienced,avg dist manu - place of receipt,avg dist place of receipt - foreign port,transnatl manu - place of receipt,transnatl place of receipt - foreign port,distance consignee - US port,shipment variation,manufacturer variation,manufacturer dispersion,chineseShipments,numSampled,numRefused,inspected prior to 2009,inspected in 2009,bad inspection in 2009
"DN Foods, Inc.",1,1,1.0,0.2680880791428033,1,0.0,2.083534149419233,3.4020494891869486,NaN,NaN,3.4056877866727775,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bumble Bee Foods LLC,1,1,1.0,0.8600584756457044,1,0.0,2.7242351950783417,1.931128590152394,NaN,NaN,3.911938263749865,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
H & N Group Inc.,2,1,0.21842381399458774,0.9536877895950372,1,0.0,2.122923200159875,3.2292670422964873,NaN,NaN,3.9568165059271743,0.0,0.0,0.5249057845271508,0.0,0.0,0.0,1.0,0.0,0.0
Utilized Public Cold Storage in United States,1,1,0.0,0.2934389935343581,1,0.0,2.122923200159875,3.2292670422964873,NaN,NaN,3.444928108091279,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea Snack Foods Inc,1,1,1.0,0.38224819969374335,1,0.0,NaN,NaN,NaN,NaN,3.559755732340511,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,1.0,0.0
Top Trade Llc,1,1,1.0,1.9494658289720037,1,0.0,1.3110433592750395,3.1548390200680765,NaN,NaN,4.267325910785152,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Preferred Freezer Service of Perth Amboy, LLC",2,2,1.0,0.7763461031638532,2,0.0,NaN,NaN,NaN,NaN,3.8674656611077283,0.0,0.0,0.37641075637941035,0.0,0.0,0.0,0.0,0.0,0.0
"APS, LLC",1,1,1.0,0.8939949502739801,1,0.0,1.6022490182214124,3.1432074212272014,NaN,NaN,3.928745349376943,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
Danmar Seafood Inc,1,1,1.0,0.3583577069639708,1,0.0,2.083534149419233,3.4020494891869486,NaN,NaN,3.5317270326766526,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Preferred Freezer Services FFD, LLC",1,1,1.0,1.5767737842345186,1,0.0,2.122923200159875,3.2292670422964873,NaN,NaN,4.175179674346279,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suram Trading Corporation,1,1,1.0,1.4549322291770275,1,0.0,2.6235380899844003,2.9918951843354056,NaN,NaN,4.140253048016601,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Preferred Freezer Services of Newark, LLC",2,2,0.6823565859131527,1.1553884118553837,1,0.0,1.6200250498852502,3.1386079380884655,NaN,NaN,4.040138291088685,0.0,0.0,0.6250803520973838,0.0,0.0,0.0,0.0,0.0,0.0
