PAC	Operation_Code	Count_of_Operations	Sum_of_Hours	percent_hours
71S012	53	12	2.80	0.00
03003A	92	1	3.00	0.00
03803	03	1	3.00	0.00
03842H	17	1	3.00	0.00
03844	53	2	3.00	0.00
03844H	01	1	3.00	0.00
03847	92	1	3.00	0.00
03F098	14	2	3.00	0.00
03F845	13	1	3.00	0.00
03R233	86	1	3.00	0.00
03R234	17	1	3.00	0.00
03R287	84	1	3.00	0.00
03R816	95	1	3.00	0.00
04019X	31	1	3.00	0.00
04F800	83	1	3.00	0.00
07001	53	6	3.00	0.00
07819	33	2	3.00	0.00
18R845	95	1	3.00	0.00
21005	95	2	3.00	0.00
21008	17	1	3.00	0.00
21008A	17	1	3.00	0.00
21R839	12	1	3.00	0.00
42001G	86	1	3.00	0.00
42818	83	1	3.00	0.00
42R814	92	1	3.00	0.00
46832P	84	1	3.00	0.00
48D800	17	1	3.00	0.00
56002H	92	1	3.00	0.00
56002P	31	2	3.00	0.00
56014A	53	1	3.00	0.00
56D800	17	2	3.00	0.00
56R801	83	1	3.00	0.00
56R836	84	1	3.00	0.00
56R876	83	1	3.00	0.00
58D800	17	1	3.00	0.00
61D800	84	1	3.00	0.00
63D800	17	1	3.00	0.00
71001A	01	1	3.00	0.00
71003B	52	3	3.00	0.00
71R814	92	1	3.00	0.00
71R845	52	21	3.00	0.00
71R853	18	1	3.00	0.00
84Z800	92	1	3.00	0.00
86006D	84	1	3.00	0.00
88D246	31	6	3.00	0.00
96T800	17	1	3.00	0.00
99R800	31	1	3.00	0.00
99R803	95	1	3.00	0.00
99R834	01	1	3.00	0.00
21006	52	4	3.10	0.00
71007	52	11	3.10	0.00
86R833	21	4	3.20	0.00
03F800	95	1	3.50	0.00
04847H	11	6	3.50	0.00
21F800	17	1	3.50	0.00
29001	17	1	3.50	0.00
52832C	14	5	3.50	0.00
82R845	14	1	3.50	0.00
83001	84	3	3.50	0.00
88D160	31	7	3.50	0.00
88D261	31	7	3.50	0.00
88R451	84	2	3.50	0.00
03R820	14	3	3.60	0.00
21004	21	6	3.60	0.00
71001	33	3	3.70	0.00
56D015	14	9	3.80	0.00
