PAC	Operation_Code	Count_of_Operations	Sum_of_Hours	percent_hours
03847H	83	13	80.50	0.00
03F845	31	4	81.00	0.00
21005	17	16	81.50	0.00
21842	31	16	81.80	0.00
48D800	92	17	82.40	0.00
86003	83	4	83.00	0.00
03819A	86	3	84.00	0.00
03R175	13	1	84.00	0.00
04004U	84	2	84.00	0.00
99R003	86	4	84.00	0.00
03842	53	62	84.40	0.00
82008	13	3	84.50	0.00
45810	12	2	85.00	0.00
52832	95	7	85.00	0.00
56008H	01	1	85.00	0.00
99R002	95	29	85.00	0.00
03803C	84	3	86.00	0.00
58D800	92	3	86.00	0.00
63001A	01	1	86.00	0.00
86001	84	8	86.00	0.00
88D261	41	7	86.00	0.00
21002	14	113	86.70	0.00
82R845	52	148	87.10	0.00
21R829	31	24	87.20	0.00
21R800	18	44	87.50	0.00
56R838	41	5	87.50	0.00
03819	13	9	88.00	0.00
03S001	84	7	88.00	0.00
07001	01	4	88.00	0.00
09844F	86	11	88.00	0.00
41R800	86	1	88.00	0.00
82845S	84	3	88.00	0.00
83R800	86	3	88.00	0.00
82008	83	21	88.30	0.00
04019X	43	10	88.50	0.00
56002D	41	3	88.50	0.00
71003E	92	8	88.50	0.00
71R838	41	2	89.00	0.00
56R359	92	5	89.50	0.00
03844C	84	5	89.80	0.00
42848F	12	1	90.00	0.00
42R258	92	7	90.00	0.00
52832C	41	11	90.00	0.00
56R838	83	1	90.00	0.00
71002	31	22	90.00	0.00
71009	84	10	90.00	0.00
82R801	11	2	90.00	0.00
99R005	01	4	90.00	0.00
63R800	92	38	90.70	0.00
82R876	92	20	90.70	0.00
03R050	84	6	91.00	0.00
03R824	92	26	91.00	0.00
63R800	41	13	91.00	0.00
82R836	92	79	91.00	0.00
46832	84	30	91.10	0.00
03R834	92	26	91.50	0.00
53001A	83	13	92.00	0.00
71R853	31	3	92.00	0.00
81R800	13	12	92.00	0.00
09803	11	64	92.50	0.00
03844D	83	11	93.00	0.00
42810	11	1	93.00	0.00
68808	13	3	93.00	0.00
03R831	92	8	93.30	0.00
04018	83	34	93.30	0.00
68811	13	4	93.50	0.00
56D800	12	1	94.00	0.00
88D195	41	8	94.00	0.00
42R836	92	107	94.70	0.00
71009	11	15	94.90	0.00
03R263	13	7	95.00	0.00
42001F	11	3	95.00	0.00
56008H	92	10	95.00	0.00
21008	83	8	95.50	0.00
71R800	86	18	95.50	0.00
86003	84	11	95.50	0.00
04019C	02	2	96.00	0.00
99R194	13	72	96.20	0.00
56002	15	5	97.00	0.00
83810	13	7	97.00	0.00
03R874	12	7	97.50	0.00
83001	92	8	98.50	0.00
03F860	14	45	99.00	0.00
56002M	84	4	99.00	0.00
81845T	12	13	99.00	0.00
99R194	96	4	99.00	0.00
03S001	53	503	99.10	0.00
56D800	92	4	99.50	0.00
21008A	53	70	99.80	0.00
21R801	41	5	100.00	0.00
41R801	12	1	100.00	0.00
42848C	12	1	100.00	0.00
04R845	41	9	101.00	0.00
83808	13	3	101.00	0.00
88D189	41	9	101.00	0.00
03R839	41	8	101.10	0.00
46R801	13	5	102.00	0.00
82845P	83	1	102.00	0.00
82A002	84	1	102.00	0.00
88D221	41	14	102.00	0.00
99R845	95	9	102.00	0.00
03S003	12	247	102.10	0.00
56R800	14	15	102.30	0.00
71R876	13	3	102.50	0.00
03003	17	25	102.80	0.00
03R839	31	8	103.00	0.00
88D230	41	13	103.00	0.00
04803	31	10	103.50	0.00
03819C	86	4	104.00	0.00
09803F	83	2	104.00	0.00
21R829	13	10	104.00	0.00
41R800	95	2	104.00	0.00
68R801	12	2	104.00	0.00
03819C	31	26	104.60	0.00
03003	95	7	105.00	0.00
46R800	92	4	105.00	0.00
71009	83	22	105.00	0.00
88D228	41	11	105.00	0.00
88D238	41	15	105.00	0.00
96R800	01	2	105.00	0.00
04R800	14	33	106.00	0.00
21006	83	3	106.00	0.00
04803	11	46	106.50	0.00
88D259	41	18	107.00	0.00
63R800	13	9	108.00	0.00
88D247	41	18	108.00	0.00
88D248	41	18	108.00	0.00
56R845	21	188	108.10	0.00
96T800	83	13	108.60	0.00
09006A	31	20	108.70	0.00
56002L	31	11	108.70	0.00
82R190	83	1	109.00	0.00
88D211	41	14	109.20	0.00
04R854	12	2	110.00	0.00
56818	03	1	110.00	0.00
82012	13	7	110.50	0.00
56R833	43	13	111.00	0.00
88D258	41	14	111.00	0.00
03844H	31	27	111.10	0.00
09006A	13	15	111.70	0.00
42R831	41	4	111.80	0.00
03844	84	23	112.00	0.00
42B800	83	2	112.00	0.00
82R831	92	10	112.00	0.00
84Z800	83	4	112.00	0.00
88D265	41	20	112.00	0.00
82845A	41	4	112.50	0.00
83R800	92	26	113.00	0.00
88D266	41	19	113.00	0.00
03F800	02	9	113.50	0.00
03R874	84	20	113.50	0.00
04C001	13	8	113.50	0.00
41002D	83	7	114.00	0.00
56002M	83	6	114.00	0.00
56R844	14	25	114.00	0.00
88D170	41	15	114.00	0.00
88D235	41	19	114.00	0.00
88D249	41	19	114.00	0.00
88D257	41	19	114.00	0.00
04R854	52	238	114.10	0.00
82818	13	12	114.50	0.00
09844E	52	251	114.90	0.00
03R833	21	219	115.00	0.00
04004A	83	12	115.00	0.00
42B003	11	1	115.00	0.00
86R876	92	15	115.00	0.00
88D160	41	7	115.00	0.00
03R234	84	9	116.00	0.00
18029A	83	18	116.00	0.00
88D191	41	14	116.00	0.00
21008X	52	269	116.50	0.00
42818	92	3	117.00	0.00
88D155	41	16	117.00	0.00
88D237	41	18	117.00	0.00
09844F	33	53	117.10	0.00
03F846	13	7	118.00	0.00
18R874	83	11	118.00	0.00
03R266	92	8	118.50	0.00
21842	12	18	118.50	0.00
21008	53	163	119.40	0.00
03819	83	16	119.50	0.00
21R800	43	9	119.50	0.00
56002F	41	8	119.60	0.00
21004	92	20	120.00	0.00
41848G	11	1	120.00	0.00
42R875	95	5	120.00	0.00
56002A	13	7	120.00	0.00
56008A	83	3	120.00	0.00
56R052	13	1	120.00	0.00
56R838	84	2	120.00	0.00
58D800	83	1	120.00	0.00
81015	12	1	120.00	0.00
82Z800	12	2	120.00	0.00
88D225	41	5	120.00	0.00
04803	84	3	121.00	0.00
18029B	92	8	121.00	0.00
88D255	41	20	121.10	0.00
56002H	13	10	122.00	0.00
21008A	92	16	122.50	0.00
56021A	31	14	122.50	0.00
83R800	17	35	123.00	0.00
03F836	92	13	124.00	0.00
29001	92	14	124.00	0.00
56R800	01	3	124.00	0.00
98T800	92	16	124.20	0.00
41002D	92	21	124.30	0.00
71003G	12	4	124.30	0.00
71R800	83	18	126.00	0.00
09R800	43	6	126.20	0.00
71006	84	15	126.30	0.00
21002	52	546	126.40	0.00
56002F	92	18	127.00	0.00
56021A	11	10	127.00	0.00
81R800	17	45	127.10	0.00
21003	41	9	127.50	0.00
82845G	41	7	128.00	0.00
03819C	52	456	128.10	0.00
42B800	84	8	128.50	0.00
71009	92	14	128.50	0.00
09809	12	2	129.00	0.00
42001F	95	14	129.00	0.00
18R845	86	2	130.00	0.00
04018	13	21	130.70	0.00
48001	83	3	131.00	0.00
21008X	21	278	131.20	0.00
45848C	84	2	132.00	0.00
88D184	41	12	132.00	0.00
41002B	84	15	132.50	0.00
56D017	13	9	132.50	0.00
07001	13	16	133.00	0.00
88D264	41	22	133.10	0.00
21R801	12	8	134.00	0.00
56002A	92	28	134.00	0.00
82008	92	60	134.30	0.00
03803E	13	10	134.80	0.00
21008	92	16	135.00	0.00
21005	18	6	135.50	0.00
42002G	13	6	135.50	0.00
86001	83	9	135.50	0.00
81R800	92	13	136.00	0.00
88D203	41	12	136.00	0.00
07R824	14	124	136.40	0.00
03844	83	8	138.00	0.00
86003	01	6	138.00	0.00
86R800	17	40	138.00	0.00
88D244	41	19	138.00	0.00
71R800	41	9	138.30	0.00
09842	12	45	138.50	0.00
09R800	02	13	138.50	0.00
04019A	21	292	139.00	0.00
41002D	95	10	139.00	0.00
42B003	12	2	139.00	0.00
56002L	41	4	139.00	0.00
83809	13	10	139.00	0.00
98811	11	2	139.00	0.00
98811	12	1	139.00	0.00
99R006	84	53	139.30	0.00
71R844	92	27	139.70	0.00
04019A	83	13	139.90	0.00
03R843	83	7	140.00	0.00
56D800	11	3	140.00	0.00
88D240	41	21	140.10	0.00
03R845	52	504	141.30	0.00
03847	13	23	141.50	0.00
88D222	41	19	142.00	0.00
99R400	83	19	142.00	0.00
88D200	41	11	142.10	0.00
46832P	12	4	143.00	0.00
88D181	41	13	143.00	0.00
82Z003	14	35	143.10	0.00
96T800	14	31	143.10	0.00
21008A	84	7	143.50	0.00
42R800	17	30	143.50	0.00
82R876	13	27	143.50	0.00
71V017	33	53	143.70	0.00
04019C	86	14	144.40	0.00
96T800	52	291	144.40	0.00
03R833	33	75	144.80	0.00
18029C	41	23	145.00	0.00
42832	13	2	145.00	0.00
52832B	41	3	145.10	0.00
41002B	92	18	145.50	0.00
88D253	41	12	146.50	0.00
18029B	13	27	147.50	0.00
56R801	92	16	147.50	0.00
21C001	86	1	148.00	0.00
56002	01	4	148.00	0.00
68811	11	2	148.00	0.00
86006E	84	8	148.00	0.00
09844F	52	372	148.30	0.00
03R282	41	5	149.00	0.00
29001	11	7	149.00	0.00
56002M	13	6	149.00	0.00
04839	84	19	149.10	0.00
04R814	92	12	149.50	0.00
07001	14	51	149.50	0.00
21002	11	4	150.00	0.00
42845B	12	4	150.00	0.00
56R831	92	11	150.00	0.00
82Z800	01	19	150.00	0.00
88D154	41	21	150.00	0.00
99R348	92	5	150.00	0.00
03R876	86	28	151.00	0.00
56002Q	12	5	151.00	0.00
71R833	43	19	151.00	0.00
82R800	33	63	151.70	0.00
29R801	31	23	151.90	0.00
03037	14	19	152.00	0.00
18029E	92	13	152.00	0.00
21R800	14	40	152.00	0.00
56002C	13	2	152.00	0.00
82008	01	14	152.00	0.00
03S001	92	20	153.00	0.00
03819A	52	650	153.50	0.00
42001G	84	8	153.50	0.00
52D001	92	17	153.50	0.00
42R800	13	15	154.00	0.00
04R854	33	72	154.30	0.00
71006	83	17	154.30	0.00
03S002	13	142	154.50	0.00
71R839	41	8	154.70	0.00
18029C	13	20	155.00	0.00
99R876	84	10	155.10	0.00
03844	92	16	155.50	0.00
03R845	84	24	155.50	0.00
03847H	41	13	155.90	0.00
04019A	13	19	156.50	0.00
21844	43	13	157.00	0.00
82845G	92	8	157.00	0.00
42845A	12	6	158.00	0.00
99R348	83	26	158.00	0.00
56002E	31	14	158.50	0.00
63R801	41	5	158.70	0.00
18029C	92	21	159.00	0.00
03R839	83	4	160.00	0.00
03R839	86	1	160.00	0.00
04R853	92	3	160.00	0.00
56R010	84	6	160.00	0.00
82845B	83	8	160.00	0.00
03R233	84	20	160.30	0.00
09R824	14	162	160.30	0.00
71R854	43	12	160.50	0.00
03003	52	645	161.10	0.00
52832	03	16	162.50	0.00
09006B	13	31	162.60	0.00
03R833	52	402	162.90	0.00
03R265	92	6	163.00	0.00
29F800	13	7	163.50	0.00
18R845	84	10	164.00	0.00
88D139	41	20	164.00	0.00
03R833	84	25	164.70	0.00
29R833	43	6	165.00	0.00
41002C	13	16	165.00	0.00
88D164	41	15	165.00	0.00
03847	31	34	165.50	0.00
42001H	13	33	165.50	0.00
03R234	41	11	166.10	0.00
03R845	01	8	167.00	0.00
81010	11	31	167.00	0.00
21008	86	12	167.50	0.00
88D146	41	24	168.00	0.00
48001E	11	3	169.00	0.00
82A001	12	17	169.00	0.00
07R800	43	9	169.20	0.00
56002A	83	7	169.80	0.00
03R860	13	8	170.00	0.00
04F800	01	11	170.50	0.00
03819B	14	45	170.60	0.00
56002B	31	21	171.00	0.00
18R845	83	10	171.50	0.00
82845B	92	33	171.50	0.00
21R803	03	2	171.80	0.00
21R800	31	14	172.50	0.00
18029D	31	35	173.50	0.00
99R400	01	7	174.00	0.00
71003K	13	3	174.50	0.00
07R800	92	19	175.00	0.00
48001E	31	7	175.00	0.00
88R833	83	37	175.50	0.00
03R845	53	115	176.00	0.00
88R451	41	11	176.60	0.00
71003B	12	7	177.00	0.00
03819C	13	5	178.00	0.00
88D219	41	17	179.60	0.00
03842H	41	14	179.90	0.00
03003	96	2	180.00	0.00
56021B	86	6	180.00	0.00
88D171	41	14	180.00	0.00
03003	83	26	180.50	0.00
83R816	01	2	181.00	0.00
48R800	84	17	181.50	0.00
86R800	92	29	181.80	0.00
99R834	83	20	181.80	0.00
03R803	84	54	182.00	0.00
56002H	41	7	182.00	0.00
88D190	41	26	182.00	0.00
03847H	31	32	183.00	0.00
88D147	41	23	183.00	0.00
98T800	11	3	183.00	0.00
56002F	31	28	184.50	0.00
04R845	92	43	184.80	0.00
63R824	14	189	185.00	0.00
21842	53	73	186.00	0.00
18029C	31	35	187.00	0.00
56D015	92	26	187.50	0.00
42001F	83	11	188.00	0.00
29R801	13	11	188.50	0.00
18029D	92	25	189.00	0.00
86007	41	6	189.00	0.00
88D144	41	27	189.00	0.00
71R853	43	15	189.50	0.00
86007	52	343	189.70	0.00
09R803	01	2	190.00	0.00
71V019	12	7	190.00	0.00
68R831	41	1	190.50	0.00
71R800	31	30	192.00	0.00
88D241	41	11	192.00	0.00
88D220	41	11	192.40	0.00
21R800	12	6	192.50	0.00
03R320	86	5	193.50	0.00
88D175	41	11	193.50	0.00
03R839	12	6	194.00	0.00
21R800	41	7	194.00	0.00
21002	21	299	195.40	0.00
21006	33	41	196.00	0.00
56818	12	3	196.00	0.00
71R800	18	42	196.70	0.00
03819A	84	83	197.00	0.00
03R860	86	7	198.00	0.00
71R816	84	18	198.00	0.00
88D180	41	18	198.00	0.00
88D182	41	16	198.50	0.00
88D165	41	11	199.10	0.00
04R320	83	9	199.50	0.00
09R816	01	1	200.00	0.00
42848A	12	1	200.00	0.00
88D176	41	16	200.00	0.00
88D215	41	20	200.00	0.00
88D224	41	20	200.00	0.00
88D227	41	20	200.00	0.00
03819A	83	26	200.50	0.00
52832	86	38	200.50	0.00
03844D	41	30	201.00	0.00
71V800	12	5	201.00	0.00
86002	12	8	201.00	0.00
99R876	86	15	201.00	0.00
03R839	33	70	201.50	0.00
03R843	92	18	203.00	0.00
18029D	13	32	203.50	0.00
21005	83	16	203.50	0.00
41832	12	1	204.00	0.00
09803	13	136	204.60	0.00
63002	13	15	204.70	0.00
71004A	13	5	205.50	0.00
03R833	95	40	205.60	0.00
56008H	31	35	205.60	0.00
04019S	41	11	206.00	0.00
88D223	41	21	206.00	0.00
18029D	41	31	206.10	0.00
82R845	21	596	206.50	0.00
41848F	12	2	207.00	0.00
45848G	12	3	207.00	0.00
85014A	92	18	207.00	0.00
18R800	92	41	208.00	0.00
42R258	83	3	208.00	0.00
63R801	13	11	208.00	0.00
18029A	84	17	209.00	0.00
82845A	92	39	209.50	0.00
88D234	41	21	210.00	0.00
09844E	43	20	210.50	0.00
82845S	41	9	211.00	0.00
88D231	41	29	211.40	0.00
09006A	92	48	211.50	0.00
48810	13	9	212.50	0.00
98R800	83	15	212.50	0.00
85014C	13	4	214.00	0.00
41002D	11	3	215.00	0.00
88D167	41	18	215.00	0.00
07001	83	21	215.50	0.00
88D254	41	27	216.00	0.00
48R831	03	2	217.80	0.00
03R839	13	8	218.00	0.00
42B800	13	15	218.00	0.00
03C001	15	1	220.00	0.00
56021A	92	21	220.00	0.00
88D226	41	20	220.00	0.00
56002C	12	2	222.00	0.00
71004	13	24	222.00	0.00
88D242	41	20	223.50	0.00
99R008	86	3	224.00	0.00
48001D	31	24	225.00	0.00
71003A	14	56	225.30	0.00
71001	21	408	225.50	0.00
88D202	41	14	225.50	0.00
88D233	41	13	227.50	0.00
56002H	31	37	227.80	0.00
41002D	84	24	228.00	0.00
88D187	41	19	228.00	0.00
88D245	41	19	228.50	0.00
56008L	92	14	229.00	0.00
09R845	21	587	229.30	0.00
82R833	43	10	230.00	0.00
03R801	86	18	231.00	0.00
04R814	41	16	231.00	0.00
18002	86	5	231.00	0.00
88D156	41	21	231.00	0.00
88D163	41	15	231.00	0.00
52R800	14	45	231.40	0.00
03F100	92	11	231.50	0.00
04F800	92	26	233.50	0.00
56002A	31	33	233.60	0.00
03003A	12	8	234.00	0.00
88D179	41	18	234.00	0.00
56R800	31	30	234.50	0.00
99R003	84	74	236.10	0.00
03R800	02	29	236.50	0.00
56008X	43	14	236.60	0.00
03R816	84	24	238.50	0.00
41848B	12	1	239.50	0.00
41R800	84	22	239.50	0.00
48R800	83	7	239.50	0.00
09R801	86	1	240.00	0.00
88D251	41	20	240.00	0.00
88R019	86	3	240.00	0.00
63R800	14	18	240.70	0.00
82008	31	58	241.00	0.00
29F800	86	1	242.00	0.00
04842H	12	65	242.50	0.00
99R006	83	19	243.00	0.00
03847H	13	29	243.50	0.00
03803D	83	15	244.00	0.00
88D169	41	20	244.00	0.00
03003	01	11	244.50	0.00
68R801	41	2	244.50	0.00
88D232	41	14	245.00	0.00
03R814	13	29	246.00	0.00
88D173	41	17	246.00	0.00
48811	83	8	246.50	0.00
58D800	86	7	247.00	0.00
86006A	31	136	247.50	0.00
21005	13	49	249.50	0.00
88D151	41	15	250.00	0.00
18029F	83	20	252.00	0.00
82R800	01	11	252.00	0.00
03803D	86	26	252.30	0.00
82012	11	64	253.50	0.00
88D199	41	23	254.00	0.00
04C001	41	6	254.50	0.00
88D178	41	15	255.00	0.00
88D186	41	17	255.00	0.00
71003A	52	410	255.30	0.00
04004A	12	6	256.50	0.00
21002	31	35	256.50	0.00
83811	13	12	258.00	0.00
88D185	41	14	258.00	0.00
03F100	12	5	258.50	0.00
04004A	13	21	259.00	0.00
71001	13	40	259.00	0.00
71006	95	11	259.00	0.00
45808	12	1	260.00	0.00
03R836	92	286	260.10	0.00
68R800	52	419	260.10	0.00
42R801	13	13	261.00	0.00
88D168	41	18	261.00	0.00
56008A	92	3	262.00	0.00
88D239	41	15	262.50	0.00
71004	31	40	263.00	0.00
86008	86	8	264.00	0.00
63D012	31	71	264.50	0.00
99R005	84	50	264.80	0.00
03R803	83	7	267.00	0.00
71003K	33	111	268.50	0.00
82009	14	38	268.50	0.00
03F860	13	25	269.00	0.00
03R320	83	15	270.50	0.00
48001A	31	34	270.50	0.00
82R801	31	40	272.50	0.00
71002	41	10	273.00	0.00
88D158	41	21	273.00	0.00
85014	11	28	273.50	0.00
41R845	92	1	274.00	0.00
86004	12	5	274.20	0.00
48R800	92	24	275.50	0.00
56R800	03	2	276.50	0.00
04004A	52	815	277.80	0.00
03R266	31	37	278.00	0.00
03844C	41	21	279.70	0.00
71R800	84	40	280.30	0.00
88D198	41	22	280.50	0.00
21008	14	188	282.00	0.00
82R800	41	12	282.50	0.00
21R800	13	30	283.00	0.00
09006A	14	133	283.50	0.00
03003	86	10	284.00	0.00
03F098	11	7	284.00	0.00
88D161	41	19	285.50	0.00
04803	13	186	286.00	0.00
21008X	33	219	286.70	0.00
29001	13	26	288.00	0.00
88D174	41	18	288.00	0.00
88D214	41	24	288.00	0.00
71003B	43	26	288.60	0.00
88D243	41	16	289.00	0.00
03R320	84	19	289.40	0.00
71003C	33	142	289.70	0.00
88D183	41	20	290.00	0.00
99R875	86	1	290.00	0.00
29R833	52	1007	290.40	0.00
71003A	21	571	291.60	0.01
99R194	95	40	291.80	0.01
21004	33	189	291.90	0.01
03R263	31	39	292.50	0.01
04018	84	9	292.50	0.01
21842	41	21	292.50	0.01
56014	52	1885	293.00	0.01
82845C	41	6	293.50	0.01
88D172	41	21	294.00	0.01
71003K	31	41	294.70	0.01
56021A	13	9	295.50	0.01
82845C	92	14	295.50	0.01
88D218	41	16	295.50	0.01
71004	41	17	296.00	0.01
84Z002	83	16	296.00	0.01
07001	84	23	296.50	0.01
29R829	14	134	297.00	0.01
88D194	41	17	297.00	0.01
03844	11	11	298.00	0.01
86009	84	15	298.00	0.01
04F800	33	114	299.50	0.01
03819	92	48	299.90	0.01
45848G	11	2	300.00	0.01
88D236	41	18	300.00	0.01
96R831	01	2	300.10	0.01
99R006	95	30	300.50	0.01
03844	31	63	301.20	0.01
21R800	02	14	303.00	0.01
56002B	11	7	304.00	0.01
58R800	83	17	304.10	0.01
68808	11	1	305.00	0.01
88D260	41	14	306.00	0.01
96R801	03	1	306.00	0.01
09006B	31	61	307.00	0.01
03803	18	13	308.50	0.01
29R801	12	12	308.50	0.01
82845B	84	12	309.00	0.01
52832	84	19	310.50	0.01
21R800	92	30	312.00	0.01
21R829	14	287	313.70	0.01
09006B	84	16	313.90	0.01
63D012	13	17	314.00	0.01
88D157	41	21	315.00	0.01
41002B	13	43	316.00	0.01
18R800	84	38	317.50	0.01
42001G	13	25	319.00	0.01
03037B	43	48	319.30	0.01
29R833	21	657	320.00	0.01
88D177	41	15	320.00	0.01
03803	17	57	320.30	0.01
04019B	33	140	323.60	0.01
04R800	01	11	324.50	0.01
82Z002	33	131	325.80	0.01
42845B	11	4	326.00	0.01
88D262	41	15	326.10	0.01
03R233	11	17	327.00	0.01
04019C	01	12	327.00	0.01
71R071	41	2	327.50	0.01
03R875	83	1	328.00	0.01
03037D	12	10	328.50	0.01
21005	92	29	329.00	0.01
63002	31	63	329.00	0.01
84R800	01	16	330.50	0.01
56R800	41	14	330.80	0.01
04004D	83	14	331.10	0.01
85014	84	29	331.50	0.01
52D001	41	5	333.00	0.01
52832B	14	325	333.90	0.01
21006	11	8	334.00	0.01
82Z800	86	11	335.00	0.01
42808	12	1	336.00	0.01
88D213	41	28	336.00	0.01
52R800	92	17	337.00	0.01
56818	92	22	338.50	0.01
03R831	41	6	339.40	0.01
82R874	84	5	340.00	0.01
04R838	84	7	342.00	0.01
48811	13	10	342.00	0.01
99R003	92	55	342.00	0.01
88R451	02	59	345.50	0.01
09006B	92	23	347.10	0.01
21R829	12	14	348.50	0.01
71001B	12	10	350.50	0.01
41810	12	4	351.50	0.01
48809	13	30	351.50	0.01
71R843	95	51	353.50	0.01
03819B	43	65	354.20	0.01
42001F	13	49	355.00	0.01
82R831	01	2	355.00	0.01
09006A	21	703	355.60	0.01
83R831	41	2	356.00	0.01
82S008	12	16	356.50	0.01
03844	13	24	359.00	0.01
03R833	43	29	359.60	0.01
71003A	12	16	359.60	0.01
03803B	86	1	360.00	0.01
04R801	41	20	360.00	0.01
88D166	41	19	360.00	0.01
56002D	12	11	361.00	0.01
86007	33	160	361.50	0.01
88D229	41	20	362.00	0.01
03R267	41	15	363.00	0.01
88D192	41	33	363.00	0.01
04019S	43	14	363.10	0.01
88D188	41	31	363.10	0.01
04R800	33	168	363.40	0.01
56002E	11	8	364.00	0.01
86001	92	8	365.70	0.01
07R800	86	6	366.00	0.01
88D149	41	23	368.00	0.01
71R801	12	12	369.50	0.01
03R803	03	2	370.00	0.01
03819C	41	51	370.80	0.01
88R019	84	24	371.00	0.01
71R844	33	246	371.80	0.01
71001	31	47	372.00	0.01
88D162	41	27	372.00	0.01
03842H	84	27	372.50	0.01
42R800	18	97	373.00	0.01
82R800	31	52	373.40	0.01
99R800	96	48	373.50	0.01
68R800	84	12	374.70	0.01
03844	52	1299	374.90	0.01
04839	83	16	375.00	0.01
42001G	11	11	375.00	0.01
99R845	01	15	375.00	0.01
81R800	86	5	377.00	0.01
04R800	83	41	377.50	0.01
71R839	12	6	377.50	0.01
03R266	41	43	377.90	0.01
56002A	41	7	378.00	0.01
03844C	83	10	378.70	0.01
21002	43	14	382.00	0.01
88D217	41	35	384.50	0.01
88D197	41	41	386.00	0.01
71003G	31	80	387.50	0.01
21006	01	19	388.00	0.01
84Z002	86	12	389.50	0.01
82R800	43	32	390.80	0.01
86R800	83	18	391.00	0.01
56021B	13	22	392.00	0.01
58R800	01	18	392.20	0.01
88D153	41	28	393.30	0.01
03819	84	59	395.80	0.01
88D250	41	20	397.00	0.01
42848B	12	1	400.00	0.01
46D800	86	1	400.00	0.01
04019A	14	145	401.00	0.01
56002	95	16	402.00	0.01
82R800	14	114	403.40	0.01
56D017	31	75	405.50	0.01
99R194	41	12	408.00	0.01
82818	12	20	409.00	0.01
63001A	33	209	412.50	0.01
03R263	92	13	414.00	0.01
03F800	84	23	415.00	0.01
56002	86	3	420.00	0.01
56R838	86	2	420.00	0.01
88D196	41	17	420.00	0.01
99R803	84	30	421.30	0.01
03803D	12	8	421.60	0.01
03803	15	33	422.20	0.01
09844F	43	51	422.30	0.01
88D263	41	19	423.60	0.01
81R801	13	19	427.00	0.01
03842	84	37	427.50	0.01
03037	13	69	430.00	0.01
41848G	12	2	430.00	0.01
03003A	14	138	430.10	0.01
03R800	31	30	430.50	0.01
96T800	41	9	433.00	0.01
03R175	41	3	433.80	0.01
81R801	12	11	435.00	0.01
03803	86	21	435.50	0.01
85014	83	52	436.50	0.01
03844	86	21	437.00	0.01
03R845	41	15	438.10	0.01
03819B	33	168	440.10	0.01
03R803	92	45	441.50	0.01
99R845	03	19	448.20	0.01
04019X	21	766	448.40	0.01
03R263	12	10	450.00	0.01
41848A	12	1	450.00	0.01
48001D	41	36	450.00	0.01
99R342	92	24	450.00	0.01
48809A	12	5	451.00	0.01
03819A	92	67	451.30	0.01
03R874	92	38	452.60	0.01
42R801	12	14	453.50	0.01
99R875	84	15	457.50	0.01
56021A	41	9	457.70	0.01
88D252	41	22	458.50	0.01
04004U	02	3	461.00	0.01
53001B	12	9	461.00	0.01
03R844	14	113	463.40	0.01
71V800	41	14	464.20	0.01
07R800	84	22	468.50	0.01
04R854	43	62	470.50	0.01
21R800	84	25	474.00	0.01
56021A	86	25	474.00	0.01
56R800	33	221	475.60	0.01
21R831	41	14	477.30	0.01
21C001	31	42	477.50	0.01
71R831	41	9	478.40	0.01
88D193	41	24	480.00	0.01
56D015	13	28	480.50	0.01
21R824	14	367	480.80	0.01
03R858	31	39	481.00	0.01
56R876	92	40	482.00	0.01
84R800	83	33	482.50	0.01
18029F	13	56	483.50	0.01
88D159	41	23	486.10	0.01
71004	11	14	486.50	0.01
04004D	01	14	488.00	0.01
04004U	01	1	488.00	0.01
03R871	21	1318	491.80	0.01
04R838	41	2	492.40	0.01
03R263	41	86	492.70	0.01
29R801	41	17	492.90	0.01
68810	12	5	494.50	0.01
71V017	43	58	497.70	0.01
56008A	02	14	498.00	0.01
03803D	92	54	498.30	0.01
42848D	12	3	500.00	0.01
18029E	13	53	501.50	0.01
21C001	12	2	502.00	0.01
56008H	12	4	503.00	0.01
21842	13	89	504.00	0.01
03844H	13	63	509.00	0.01
03003	12	31	510.00	0.01
03844H	43	61	513.10	0.01
04019C	31	115	513.50	0.01
52D001	84	40	513.50	0.01
18029E	12	23	518.50	0.01
03R845	21	1740	518.70	0.01
96T800	13	43	522.30	0.01
03R800	95	57	528.00	0.01
03R845	83	4	529.00	0.01
42008F	11	3	529.00	0.01
84R800	92	64	530.50	0.01
88D152	41	27	533.10	0.01
82R801	13	37	534.70	0.01
03R800	14	83	534.90	0.01
09R831	41	4	537.40	0.01
04R838	01	6	540.20	0.01
18029A	92	100	542.10	0.01
04019A	84	50	542.30	0.01
18029F	92	98	543.00	0.01
56R010	86	7	544.00	0.01
21008A	41	52	548.20	0.01
84R800	86	9	552.00	0.01
21844	21	900	552.50	0.01
71R800	14	36	553.00	0.01
09006B	41	50	557.50	0.01
56002I	11	6	558.00	0.01
21R800	17	156	566.30	0.01
21002	12	24	569.00	0.01
04019C	92	74	570.50	0.01
56002E	13	73	572.40	0.01
86006E	41	28	576.00	0.01
03003	92	58	577.10	0.01
96T800	92	50	579.50	0.01
09006A	41	20	581.50	0.01
18R874	92	40	583.00	0.01
71V022	12	21	587.00	0.01
58R800	86	25	587.50	0.01
48808	11	6	589.00	0.01
99R834	86	8	589.00	0.01
71003U	31	56	589.70	0.01
03842	83	43	593.50	0.01
82012	12	197	595.50	0.01
04019C	84	86	595.60	0.01
56D800	86	6	597.00	0.01
86006	11	7	599.00	0.01
