"","Operation Date","Sum of Hours","Hours Spent","PAC","Operation Code","Work Accomplishment ID","Emp Person ID","Count of Operations","Plan PAC","Plan Hours","Total Hours Spent","Operation Date FY"
"1","2015/04/01 00:00:00","5","","","","7860096","","","","","",""
"1","2015/04/02 00:00:00","3","","","","7851727","","","","","",""
"1","2015/04/02 00:00:00","4","","","","7860502","","","","","",""
"1","2015/04/02 00:00:00","4","","","","7887194","","","","","",""
"1","2015/04/02 00:00:00","5","","","","7860508","","","","","",""
"1","2015/04/02 00:00:00","14","","","","7838344","","","","","",""
"1","2015/04/02 00:00:00","20","","","","7860496","","","","","",""
"1","2015/04/09 00:00:00","4","","","","7764519","","","","","",""
"1","2015/04/10 00:00:00","2","","","","7894299","","","","","",""
"1","2015/04/10 00:00:00","4","","","","7851729","","","","","",""
"1","2015/04/10 00:00:00","5","","","","7860510","","","","","",""
"1","2015/04/15 00:00:00","20","","","","7860498","","","","","",""
"1","2015/04/16 00:00:00","1","","","","7858208","","","","","",""
"1","2015/04/16 00:00:00","1","","","","7909501","","","","","",""
"1","2015/04/16 00:00:00","3","","","","7894300","","","","","",""
"1","2015/04/16 00:00:00","4","","","","7851730","","","","","",""
"1","2015/04/16 00:00:00","4","","","","7909493","","","","","",""
"1","2015/04/16 00:00:00","5","","","","7810578","","","","","",""
"1","2015/04/23 00:00:00","1","","","","7838353","","","","","",""
"1","2015/04/23 00:00:00","1","","","","7858209","","","","","",""
"1","2015/04/23 00:00:00","1","","","","7860515","","","","","",""
"1","2015/04/23 00:00:00","1","","","","7909525","","","","","",""
"1","2015/04/23 00:00:00","3","","","","7909497","","","","","",""
"1","2015/04/29 00:00:00","2.9","","","","7860526","","","","","",""
"1","2015/04/30 00:00:00","1","","","","7838354","","","","","",""
"1","2015/04/30 00:00:00","1","","","","7909563","","","","","",""
"1","2015/04/30 00:00:00","2","","","","7858210","","","","","",""
"1","2015/04/30 00:00:00","10","","","","7860516","","","","","",""
"1","2015/04/30 00:00:00","10","","","","7860518","","","","","",""
"1","2015/04/30 00:00:00","15","","","","7860523","","","","","",""
"1","2015/04/30 00:00:00","23","","","","7836054","","","","","",""
"1","2015/05/05 00:00:00","20","","","","7939500","","","","","",""
"1","2015/05/07 00:00:00","0.1","","","","7622577","","","","","",""
"1","2015/05/07 00:00:00","5","","","","7860520","","","","","",""
"1","2015/05/07 00:00:00","8","","","","7860517","","","","","",""
"1","2015/05/08 00:00:00","18","","","","7939683","","","","","",""
"1","2015/05/14 00:00:00","1","","","","7945708","","","","","",""
"1","2015/05/14 00:00:00","6","","","","7945705","","","","","",""
"1","2015/05/14 00:00:00","10","","","","7860521","","","","","",""
"1","2015/05/14 00:00:00","26","","","","7939792","","","","","",""
"1","2015/05/15 00:00:00","12","","","","7854138","","","","","",""
"1","2015/05/20 00:00:00","4","","","","7945706","","","","","",""
"1","2015/05/21 00:00:00","1","","","","7945710","","","","","",""
"1","2015/05/21 00:00:00","5","","","","7945712","","","","","",""
"1","2015/05/21 00:00:00","8","","","","7858557","","","","","",""
"1","2015/05/21 00:00:00","10","","","","7958192","","","","","",""
"1","2015/05/26 00:00:00","3","","","","7958266","","","","","",""
"1","2015/05/28 00:00:00","4","","","","7945714","","","","","",""
"1","2015/05/29 00:00:00","2","","","","7958210","","","","","",""
"1","2015/06/03 00:00:00","3","","","","7970968","","","","","",""
"1","2015/06/04 00:00:00","0.5","","","","7936727","","","","","",""
"1","2015/06/09 00:00:00","5","","","","8013264","","","","","",""
"1","2015/06/10 00:00:00","3","","","","7979318","","","","","",""
"1","2015/06/10 00:00:00","4","","","","8020964","","","","","",""
"1","2015/06/11 00:00:00","0.5","","","","7936747","","","","","",""
"1","2015/06/11 00:00:00","30","","","","7971803","","","","","",""
"1","2015/06/11 00:00:00","80","","","","7965908","","","","","",""
"1","2015/06/16 00:00:00","5","","","","8013275","","","","","",""
"1","2015/06/17 00:00:00","5","","","","7874671","","","","","",""
"1","2015/06/18 00:00:00","0.5","","","","7907512","","","","","",""
"1","2015/06/18 00:00:00","0.5","","","","7936749","","","","","",""
"1","2015/06/18 00:00:00","3","","","","7971757","","","","","",""
"1","2015/06/18 00:00:00","10","","","","8024644","","","","","",""
"1","2015/06/18 00:00:00","20","","","","7971821","","","","","",""
"1","2015/06/23 00:00:00","5","","","","8013292","","","","","",""
"1","2015/06/24 00:00:00","20","","","","7971859","","","","","",""
"1","2015/06/25 00:00:00","0.5","","","","7971087","","","","","",""
"1","2015/06/25 00:00:00","2","","","","8027616","","","","","",""
"1","2015/07/02 00:00:00","0.1","","","","8004848","","","","","",""
"1","2015/07/02 00:00:00","0.5","","","","7971089","","","","","",""
"1","2015/07/02 00:00:00","1.8","","","","8024665","","","","","",""
"1","2015/07/02 00:00:00","2","","","","7970986","","","","","",""
"1","2015/07/02 00:00:00","2","","","","7989957","","","","","",""
"1","2015/07/08 00:00:00","1","","","","7971065","","","","","",""
"1","2015/07/09 00:00:00","1","","","","8004866","","","","","",""
"1","2015/07/09 00:00:00","4","","","","8027650","","","","","",""
"1","2015/07/09 00:00:00","4","","","","8062903","","","","","",""
"1","2015/07/09 00:00:00","5","","","","8024623","","","","","",""
