PAC,PAF,OPCODE,ACCORG,ACC2011,PLAN2011,ACC2012,PLAN2012,ACC2013,PLAN2013,ACC2014,PLAN2014,ACC2015,PLAN2015
3842,,12,PHI-DO,330,333,,,,,,,,
3842,,12,SAN-DO,1627,1792,,,,,,,,
3842,,12,SEA-DO,2364.5,5734,,,,,,,,
3842,,12,SJN-DO,112,102,,,,,,,,
3842,,31,ATL-DO,6,105,,,,,,,,
3842,,31,BLT-DO,40,70,,,,,,,,
3842,,31,CHI-DO,74.5,10,,,,,,,,
3842,,31,CIN-DO,13,25,,,,,,,,
3842,,31,DAL-DO,52.5,105,,,,,,,,
3842,,31,DEN-DO,25,20,,,,,,,,
3842,,31,DET-DO,67,20,,,,,,,,
3842,,31,FLA-DO,59.5,125,,,,,,,,
3842,,31,KAN-DO,12,15,,,,,,,,
3842,,31,LOS-DO,302.5,125,,,,,,,,
3842,,31,MIN-DO,265.5,25,,,,,,,,
3842,,31,NOL-DO,95.5,165,,,,,,,,
3842,,31,NWE-DO,351,165,,,,,,,,
3842,,31,NWJ-DO,92.5,25,,,,,,,,
3842,,31,NYK-DO,298,80,,,,,,,,
3842,,31,PHI-DO,17,15,,,,,,,,
3842,,31,SAN-DO,319,75,,,,,,,,
3842,,31,SEA-DO,181.1,225,,,,,,,,
3842,,31,SJN-DO,16.5,5,,,,,,,,
3844,ACD,43,NRL,70.5,15265,,,,,,,,
3844,BIO,43,NRL,0,15265,,,,,,,,
3844,MIC,43,ARL,1377.1,3128,,,,,,,,
3844,MIC,43,NRL,9183.1,15265,,,,,,,,
3844,MIC,43,PRL-NW,417.4,5101,,,,,,,,
3844,MIC,43,PRL-SW,6736.5,19622,,,,,,,,
3844,MIC,43,SRL,278,17688,,,,,,,,
3844,MIC,43,WEAC,1424.6,1467,,,,,,,,
3844,NAR,43,NRL,0,15265,,,,,,,,
3844,,12,ATL-DO,151,112,,,,,,,,
3844,,12,BLT-DO,112,210,,,,,,,,
3844,,12,CHI-DO,42,238,,,,,,,,
3844,,12,CIN-DO,5,14,,,,,,,,
3844,,12,DAL-DO,38,98,,,,,,,,
3844,,12,DET-DO,81.5,154,,,,,,,,
3844,,12,FLA-DO,158,462,,,,,,,,
3844,,12,LOS-DO,93.5,840,,,,,,,,
3844,,12,MIN-DO,31.5,98,,,,,,,,
3844,,12,NOL-DO,15,28,,,,,,,,
3844,,12,NWE-DO,38.5,784,,,,,,,,
3844,,12,NWJ-DO,155,308,,,,,,,,
3844,,12,NYK-DO,248,616,,,,,,,,
3844,,12,PHI-DO,94,98,,,,,,,,
3844,,12,SAN-DO,179,700,,,,,,,,
3844,,12,SEA-DO,22,420,,,,,,,,
3844,,14,ATL-DO,12.8,36,,,,,,,,
3844,,14,BLT-DO,6.6,68,,,,,,,,
3844,,14,DET-DO,1,50,,,,,,,,
3844,,14,FLA-DO,115.1,150,,,,,,,,
3844,,14,LOS-DO,1387.9,272,,,,,,,,
3844,,14,NOL-DO,9.5,9,,,,,,,,
3844,,14,NWE-DO,112,252,,,,,,,,
3844,,14,NYK-DO,317.2,199,,,,,,,,
3844,,14,SAN-DO,25.2,227,,,,,,,,
3844,,14,SEA-DO,324.3,136,,,,,,,,
3844,,21,ATL-DO,14.4,83,,,,,,,,
3844,,21,BLT-DO,145.7,259,,,,,,,,
3844,,21,CHI-DO,19.1,107,,,,,,,,
3844,,21,DET-DO,79,599,,,,,,,,
3844,,21,FLA-DO,2138.1,1211,,,,,,,,
3844,,21,LOS-DO,1596.9,1565,,,,,,,,
3844,,21,MIN-DO,15.3,28,,,,,,,,
3844,,21,NOL-DO,17.2,21,,,,,,,,
3844,,21,NWE-DO,417.6,946,,,,,,,,
3844,,21,NYK-DO,1396.3,1379,,,,,,,,
3844,,21,SAN-DO,73.3,568,,,,,,,,
3844,,21,SEA-DO,300.9,835,,,,,,,,
3844,,21,SJN-DO,158.3,25,,,,,,,,
3844,,21,SWI-DO,568.5,385,,,,,,,,
3844,,33,ATL-DO,76.5,104,,,,,,,,
3844,,33,BLT-DO,596.1,884,,,,,,,,
3844,,33,CHI-DO,83.9,182,,,,,,,,
3844,,33,DET-DO,204.8,221,,,,,,,,
3844,,33,FLA-DO,2214.1,3172,,,,,,,,
3844,,33,LOS-DO,6227.1,4641,,,,,,,,
3844,,33,MIN-DO,14,26,,,,,,,,
3844,,33,NOL-DO,197.6,286,,,,,,,,
3844,,33,NWE-DO,2414.5,1768,,,,,,,,
3844,,33,NYK-DO,1902.9,2223,,,,,,,,
3844,,33,PHI-DO,73.5,26,,,,,,,,
3844,,33,SAN-DO,763.5,1105,,,,,,,,
3844,,33,SEA-DO,1210.5,1222,,,,,,,,
3844,,33,SJN-DO,28.5,26,,,,,,,,
3844,,33,SWI-DO,743.4,728,,,,,,,,
03847H,FIL,41,NRL,0,112,,,,,,,,
03847H,MIC,41,ARL,8.5,44,,,,,,,,
03847H,MIC,41,NRL,113.8,112,,,,,,,,
03847H,MIC,41,PRL-SW,203.2,97,,,,,,,,
03847H,MIC,41,SRL,31,414,,,,,,,,
03847H,,12,ATL-DO,49.5,167,,,,,,,,
03847H,,12,BLT-DO,216.5,167,,,,,,,,
03847H,,12,CHI-DO,216,136,,,,,,,,
03847H,,12,CIN-DO,301,233,,,,,,,,
03847H,,12,DAL-DO,195,417,,,,,,,,
03847H,,12,DEN-DO,6,167,,,,,,,,
03847H,,12,DET-DO,548.8,268,,,,,,,,
03847H,,12,FLA-DO,471,184,,,,,,,,
03847H,,12,KAN-DO,191,145,,,,,,,,
03847H,,12,LOS-DO,327.5,487,,,,,,,,
03847H,,12,MIN-DO,405,321,,,,,,,,
03847H,,12,NOL-DO,146,145,,,,,,,,
03847H,,12,NWE-DO,416,281,,,,,,,,
03847H,,12,NWJ-DO,337.5,175,,,,,,,,
03847H,,12,NYK-DO,375,298,,,,,,,,
03847H,,12,PHI-DO,408.9,189,,,,,,,,
03847H,,12,SAN-DO,565,413,,,,,,,,
03847H,,12,SEA-DO,164,778,,,,,,,,
03847H,,12,SJN-DO,204,79,,,,,,,,
03847H,,31,ATL-DO,4,10,,,,,,,,
03847H,,31,BLT-DO,12,15,,,,,,,,
03847H,,31,CHI-DO,41,10,,,,,,,,
03847H,,31,CIN-DO,21,20,,,,,,,,
03847H,,31,DAL-DO,3,30,,,,,,,,
03847H,,31,DET-DO,45,20,,,,,,,,
03847H,,31,FLA-DO,32,10,,,,,,,,
03847H,,31,LOS-DO,26,35,,,,,,,,
03847H,,31,MIN-DO,33.5,25,,,,,,,,
03847H,,31,NWE-DO,34.5,20,,,,,,,,
03847H,,31,NYK-DO,12.5,20,,,,,,,,
03847H,,31,PHI-DO,46.7,15,,,,,,,,
03847H,,31,SAN-DO,202,30,,,,,,,,
03847H,,31,SJN-DO,13,5,,,,,,,,
03F098,MIC,43,ARL,278.9,5875,,,,,,,,
