PlanFY,OpDateFY,Plan_PAC,Plan_Hours,Sum_of_Hours,Acc_Org
2011,2011,03803A,700.00,1360.20,NOL-DO
2011,2011,03803A,735.00,852.50,CHI-DO
2011,2011,03803A,770.00,953.00,KAN-DO
2011,2011,03803A,805.00,882.50,PHI-DO
2011,2011,03803A,945.00,892.50,DET-DO
2011,2011,03803A,1400.00,926.00,ATL-DO
2011,2011,03803A,1400.00,1009.20,NYK-DO
2011,2011,03803A,1505.00,2700.10,MIN-DO
2011,2011,03803A,1715.00,1749.00,BLT-DO
2011,2011,03803A,1820.00,1106.10,DAL-DO
2011,2011,03803A,2170.00,1083.50,LOS-DO
2011,2011,03803A,2415.00,1002.00,SEA-DO
2011,2011,03819,1180.00,42.00,PRL-SW
2011,2011,03819,6971.00,3.00,LOS-DO
2011,2011,03842,5.00,16.50,SJN-DO
2011,2011,03842,10.00,74.50,CHI-DO
2011,2011,03842,15.00,12.00,KAN-DO
2011,2011,03842,15.00,17.00,PHI-DO
2011,2011,03842,20.00,25.00,DEN-DO
2011,2011,03842,20.00,67.00,DET-DO
2011,2011,03842,25.00,13.00,CIN-DO
2011,2011,03842,25.00,265.50,MIN-DO
2011,2011,03842,25.00,92.50,NWJ-DO
2011,2011,03842,70.00,40.00,BLT-DO
2011,2011,03842,75.00,319.00,SAN-DO
2011,2011,03842,80.00,298.00,NYK-DO
2011,2011,03842,102.00,112.00,SJN-DO
2011,2011,03842,105.00,6.00,ATL-DO
2011,2011,03842,105.00,52.50,DAL-DO
2011,2011,03842,125.00,59.50,FLA-DO
2011,2011,03842,125.00,302.50,LOS-DO
2011,2011,03842,165.00,95.50,NOL-DO
2011,2011,03842,165.00,351.00,NWE-DO
2011,2011,03842,225.00,181.10,SEA-DO
2011,2011,03842,282.00,589.00,CHI-DO
2011,2011,03842,282.00,191.00,KAN-DO
2011,2011,03842,333.00,330.00,PHI-DO
2011,2011,03842,538.00,291.50,DEN-DO
2011,2011,03842,538.00,401.00,DET-DO
2011,2011,03842,589.00,979.50,NWJ-DO
2011,2011,03842,614.00,1235.50,MIN-DO
2011,2011,03842,742.00,275.00,CIN-DO
2011,2011,03842,1690.00,922.50,BLT-DO
2011,2011,03842,1792.00,1627.00,SAN-DO
2011,2011,03842,1971.00,1968.50,NYK-DO
2011,2011,03842,2534.00,909.70,DAL-DO
2011,2011,03842,2662.00,687.50,ATL-DO
2011,2011,03842,3098.00,1731.50,LOS-DO
2011,2011,03842,3123.00,1899.00,FLA-DO
2011,2011,03842,3775.00,42.00,ORAHQ
2011,2011,03842,4070.00,3400.00,NWE-DO
2011,2011,03842,4147.00,1665.00,NOL-DO
2011,2011,03842,5734.00,2364.50,SEA-DO
2011,2011,03844,9.00,9.50,NOL-DO
2011,2011,03844,14.00,5.00,CIN-DO
2011,2011,03844,21.00,17.20,NOL-DO
2011,2011,03844,25.00,158.30,SJN-DO
2011,2011,03844,26.00,14.00,MIN-DO
2011,2011,03844,26.00,73.50,PHI-DO
2011,2011,03844,26.00,28.50,SJN-DO
2011,2011,03844,28.00,15.30,MIN-DO
2011,2011,03844,28.00,15.00,NOL-DO
2011,2011,03844,36.00,12.80,ATL-DO
2011,2011,03844,50.00,1.00,DET-DO
2011,2011,03844,68.00,6.60,BLT-DO
2011,2011,03844,83.00,14.40,ATL-DO
2011,2011,03844,98.00,38.00,DAL-DO
2011,2011,03844,98.00,31.50,MIN-DO
2011,2011,03844,98.00,94.00,PHI-DO
2011,2011,03844,104.00,76.50,ATL-DO
2011,2011,03844,107.00,19.10,CHI-DO
2011,2011,03844,112.00,151.00,ATL-DO
2011,2011,03844,136.00,324.30,SEA-DO
2011,2011,03844,150.00,115.10,FLA-DO
2011,2011,03844,154.00,81.50,DET-DO
2011,2011,03844,182.00,83.90,CHI-DO
2011,2011,03844,199.00,317.20,NYK-DO
2011,2011,03844,210.00,112.00,BLT-DO
2011,2011,03844,221.00,204.80,DET-DO
2011,2011,03844,227.00,25.20,SAN-DO
2011,2011,03844,238.00,42.00,CHI-DO
2011,2011,03844,252.00,112.00,NWE-DO
2011,2011,03844,259.00,145.70,BLT-DO
2011,2011,03844,272.00,1387.90,LOS-DO
2011,2011,03844,286.00,197.60,NOL-DO
2011,2011,03844,308.00,155.00,NWJ-DO
2011,2011,03844,385.00,568.50,SWI-DO
2011,2011,03844,420.00,22.00,SEA-DO
2011,2011,03844,462.00,158.00,FLA-DO
2011,2011,03844,568.00,73.30,SAN-DO
